"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.39,0.9,28.2978,40.13865,57.4951,0.324401,0.4164295,0.524098,1.00078587250092,1.00454762674592,15000,5000,20,500
"2",100,500,50,0.4,1,0.38,0.89,28.1374,39.859,57.3475,0.312702,0.4175065,0.518324,1.00610582828288,0.99991284927129,15000,5000,20,500
"3",100,500,50,0.4,1,0.46,0.91,41.7257,59.5279,83.3935,0.413323,0.516591,0.630008,1.00136367928667,0.999473249212078,15000,5000,20,500
"4",100,500,50,0.4,1,0.35,0.96,33.5282,53.3891,76.6865,0.290757,0.3918125,0.505548,1.00661713648991,1.00384171493723,15000,5000,20,500
"5",100,500,50,0.4,1,0.29,0.86,27.0079,41.46195,61.5916,0.215751,0.324454,0.414249,1.00359199153152,1.00309293041461,15000,5000,20,500
"6",100,500,50,0.4,1,0.36,0.88,44.5187,70.86205,110.517,0.315829,0.417519,0.532478,1.01064291669599,1.00396397581448,15000,5000,20,500
"7",100,500,50,0.4,1,0.39,0.87,33.9247,49.3332,69.387,0.334265,0.4351655,0.538915,1.00134748382813,1.00159226351418,15000,5000,20,500
"8",100,500,50,0.4,1,0.32,0.93,36.2937,56.47935,82.3023,0.262007,0.3621755,0.469819,1.00247654923484,1.00124112333249,15000,5000,20,500
"9",100,500,50,0.4,1,0.42,0.9,33.8496,51.26865,71.2977,0.36483,0.4669555,0.572359,1.00547106521612,1.00184908543054,15000,5000,20,500
"10",100,500,50,0.4,1,0.42,0.93,39.2067,58.10835,81.0848,0.365121,0.4704455,0.575815,1.00502977900253,1.00297498217027,15000,5000,20,500
"11",100,500,50,0.4,1,0.37,0.93,49.5652,80.79035,124.588,0.3306,0.437257,0.562355,1.01637256751307,1.00238677220564,15000,5000,20,500
"12",100,500,50,0.4,1,0.42,0.94,34.1141,49.49445,70.5106,0.352057,0.4581005,0.560364,1.00551048883579,1.00351003312566,15000,5000,20,500
"13",100,500,50,0.4,1,0.39,0.94,30.2439,42.82105,60.8852,0.321796,0.4231365,0.520756,1.00024448975172,1.00149795636333,15000,5000,20,500
"14",100,500,50,0.4,1,0.45,0.93,41.1548,59.79885,87.3489,0.387752,0.5079905,0.612284,1.00833304133755,1.00541076004706,15000,5000,20,500
"15",100,500,50,0.4,1,0.34,0.87,48.2059,73.641,112.235,0.297761,0.40433,0.511959,1.01029373571086,1.00195763599647,15000,5000,20,500
"16",100,500,50,0.4,1,0.38,0.9,35.1823,52.23535,73.2164,0.334049,0.442607,0.548026,1.00230384886081,1.00137558490136,15000,5000,20,500
"17",100,500,50,0.4,1,0.39,0.91,37.3576,53.05855,76.2437,0.344377,0.4362885,0.55291,1.00023589881764,1.00048459229885,15000,5000,20,500
"18",100,500,50,0.4,1,0.44,0.93,39.5214,57.9432,83.2688,0.399775,0.5109765,0.62509,1.00666613410692,1.00737715440007,15000,5000,20,500
"19",100,500,50,0.4,1,0.4,0.89,31.0122,44.3365,63.0933,0.348148,0.4364595,0.547759,1.00147491278385,1.00738970521907,15000,5000,20,500
"20",100,500,50,0.4,1,0.38,0.92,30.6476,45.1093,63.781,0.316398,0.419194,0.52505,0.999987049306836,1.0004985184181,15000,5000,20,500
"21",100,500,50,0.4,1,0.31,0.89,35.5288,54.4509,85.3049,0.251531,0.349907,0.455304,1.00367021972972,0.999500358690686,15000,5000,20,500
"22",100,500,50,0.4,1,0.34,0.9,43.7944,69.84155,107.618,0.288851,0.396543,0.507982,1.00022205930869,1.00066816357256,15000,5000,20,500
"23",100,500,50,0.4,1,0.41,0.94,37.0614,53.19595,76.1408,0.353549,0.456134,0.560893,1.00557136952881,0.999528155360177,15000,5000,20,500
"24",100,500,50,0.4,1,0.37,0.88,27.9727,40.8738,57.3282,0.314062,0.419039,0.515621,1.00268654259175,0.999226806989469,15000,5000,20,500
"25",100,500,50,0.4,1,0.37,0.88,39.4105,59.77005,87.495,0.317796,0.414691,0.521449,1.00897932229987,1.00582953095133,15000,5000,20,500
"26",100,500,50,0.4,1,0.42,0.93,33.8213,50.70805,69.4944,0.36054,0.4600625,0.567653,1.00589932407384,1.00084686915097,15000,5000,20,500
"27",100,500,50,0.4,1,0.43,0.98,33.3951,46.7107,65.5026,0.374459,0.4723345,0.581263,1.00160641487693,1.00318938423087,15000,5000,20,500
"28",100,500,50,0.4,1,0.48,0.9,26.2164,37.2397,50.4571,0.413453,0.5151895,0.621896,0.999778751501173,1.00304133703515,15000,5000,20,500
"29",100,500,50,0.4,1,0.45,0.89,33.1276,46.15525,64.3623,0.392387,0.492118,0.595785,1.00179426869982,1.00184406164272,15000,5000,20,500
"30",100,500,50,0.4,1,0.34,0.9,30.3861,46.2283,65.8335,0.292123,0.385128,0.503298,1.00704367214063,0.99915019198797,15000,5000,20,500
"31",100,500,50,0.4,1,0.41,0.84,41.868,59.00875,84.2017,0.373094,0.4879795,0.597047,1.00017637173714,1.00248480246004,15000,5000,20,500
"32",100,500,50,0.4,1,0.37,0.87,37.3537,55.9458,82.9529,0.309117,0.4193355,0.525396,1.00295421781955,1.00014946238363,15000,5000,20,500
"33",100,500,50,0.4,1,0.33,0.92,34.3935,50.75285,74.4796,0.280308,0.38518,0.485449,1.00339761155044,0.999857825322779,15000,5000,20,500
"34",100,500,50,0.4,1,0.24,0.9,37.074,60.6559,94.5115,0.192039,0.2850305,0.378376,1.00028819174271,1.00223363986587,15000,5000,20,500
"35",100,500,50,0.4,1,0.44,0.91,39.725,55.4473,79.3747,0.397374,0.507347,0.61633,1.00109318608824,0.999731596654398,15000,5000,20,500
"36",100,500,50,0.4,1,0.38,0.84,40.7645,60.06355,84.2571,0.330454,0.434271,0.535019,1.00119862824572,1.00227778404149,15000,5000,20,500
"37",100,500,50,0.4,1,0.32,0.87,47.7815,74.8681,115.141,0.281007,0.3858095,0.507392,1.00556889882163,1.00099606679757,15000,5000,20,500
"38",100,500,50,0.4,1,0.34,0.93,38.5274,62.6445,90.4891,0.27682,0.379413,0.487525,1.00392037921739,1.00079198353653,15000,5000,20,500
"39",100,500,50,0.4,1,0.39,0.92,37.9797,56.8238,83.5802,0.336566,0.443035,0.550092,1.00531043286658,0.999419973847011,15000,5000,20,500
"40",100,500,50,0.4,1,0.37,0.9,27.6253,40.4135,56.579,0.311689,0.4053635,0.510544,1.00311346711564,0.999776797882323,15000,5000,20,500
"41",100,500,50,0.4,1,0.36,0.96,26.9966,41.4688,60.249,0.296802,0.39486,0.495944,1.0037243100599,1.00043226258596,15000,5000,20,500
"42",100,500,50,0.4,1,0.4,0.91,41.1001,62.1988,88.6064,0.362017,0.4612135,0.578058,1.00605884563534,1.00150992235957,15000,5000,20,500
"43",100,500,50,0.4,1,0.46,0.91,44.9932,67.0831,94.3467,0.425621,0.5250745,0.651319,1.01000099486193,1.00500298015487,15000,5000,20,500
"44",100,500,50,0.4,1,0.39,0.89,33.7979,50.9439,71.7211,0.339589,0.4366445,0.555881,1.00408563651434,1.00184913973385,15000,5000,20,500
"45",100,500,50,0.4,1,0.43,0.9,48.0764,70.54515,102.509,0.384267,0.501977,0.619874,1.0078694850762,1.00312543033514,15000,5000,20,500
"46",100,500,50,0.4,1,0.41,0.84,43.9696,67.6434,99.3996,0.375461,0.4851315,0.608421,1.00163276291011,1.00233953066738,15000,5000,20,500
"47",100,500,50,0.4,1,0.36,0.94,35.3524,52.71575,76.8093,0.29417,0.407708,0.514379,1.00052196981829,1.00216438612051,15000,5000,20,500
"48",100,500,50,0.4,1,0.4,0.92,27.9672,39.944,55.8752,0.350052,0.4410795,0.545051,1.0046044783935,1.00022738258179,15000,5000,20,500
"49",100,500,50,0.4,1,0.41,0.96,37.8581,56.9816,81.5225,0.342912,0.45936,0.56369,1.0110818217918,1.0015256893274,15000,5000,20,500
"50",100,500,50,0.4,1,0.43,0.92,28.098,39.36855,53.5928,0.370083,0.4652945,0.578295,1.00072092883612,1.00087704783977,15000,5000,20,500
"51",500,500,50,0.4,1,0.408,0.896,39.7433,46.3075,54.1554,0.408713,0.452101,0.499398,1.00055744835897,0.999906485800448,15000,5000,20,500
"52",500,500,50,0.4,1,0.374,0.916,42.4559,49.4679,58.1055,0.368727,0.4128475,0.466345,1.00249511398359,1.0012686549818,15000,5000,20,500
"53",500,500,50,0.4,1,0.376,0.896,46.7834,55.31045,64.4602,0.384268,0.428624,0.472601,1.0003462021126,0.999131222532728,15000,5000,20,500
"54",500,500,50,0.4,1,0.376,0.868,44.0168,51.89335,60.8825,0.36894,0.4203015,0.465194,0.999532113443469,1.001170219941,15000,5000,20,500
"55",500,500,50,0.4,1,0.406,0.892,43.6593,50.9007,59.4378,0.405522,0.4571625,0.50234,1.00228752525602,1.00108780837986,15000,5000,20,500
"56",500,500,50,0.4,1,0.414,0.898,37.4371,44.1554,50.6581,0.411007,0.4541925,0.505019,1.00084189637253,1.00021047057888,15000,5000,20,500
"57",500,500,50,0.4,1,0.374,0.908,37.868,44.66615,52.5801,0.372422,0.413616,0.462208,1.00749903247511,1.00041089885168,15000,5000,20,500
"58",500,500,50,0.4,1,0.338,0.904,45.8103,55.23135,65.1249,0.331847,0.3755315,0.422223,1.00040375698195,1.00233776978954,15000,5000,20,500
"59",500,500,50,0.4,1,0.33,0.914,37.3228,44.41535,52.6328,0.313163,0.3597725,0.404482,1.00028993786905,1.00113467901562,15000,5000,20,500
"60",500,500,50,0.4,1,0.37,0.912,40.755,48.5165,56.34,0.367803,0.411652,0.459293,1.00576638667231,0.999785342010356,15000,5000,20,500
