"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.39,0.93,28.2408,40.6688,56.8986,0.999407545718201,15000,5000,20,500
"2",100,500,50,0.4,1,0.41,0.83,39.1083,58.06675,81.3819,1.00100759783398,15000,5000,20,500
"3",100,500,50,0.4,1,0.41,0.92,30.5374,44.75405,61.3104,1.00038273053951,15000,5000,20,500
"4",100,500,50,0.4,1,0.42,0.93,48.4805,74.4615,110.456,1.00138552772978,15000,5000,20,500
"5",100,500,50,0.4,1,0.32,0.86,32.9767,51.0513,74.3634,0.999061269166692,15000,5000,20,500
"6",100,500,50,0.4,1,0.36,0.94,34.819,52.32815,75.658,1.00011037240131,15000,5000,20,500
"7",100,500,50,0.4,1,0.34,0.85,33.7884,51.7102,75.9216,1.00071828304724,15000,5000,20,500
"8",100,500,50,0.4,1,0.38,0.88,25.4469,39.3673,54.098,1.0006230515783,15000,5000,20,500
"9",100,500,50,0.4,1,0.37,0.86,30.9783,44.6078,63.9018,1.00265697055022,15000,5000,20,500
"10",100,500,50,0.4,1,0.36,0.89,30.2471,45.83865,65.6488,1.00677234245072,15000,5000,20,500
"11",100,500,50,0.4,1,0.39,0.91,44.5057,68.138,100.55,0.999858671183537,15000,5000,20,500
"12",100,500,50,0.4,1,0.35,0.87,33.1037,49.01885,71.511,1.0014972643218,15000,5000,20,500
"13",100,500,50,0.4,1,0.38,0.89,30.8097,45.45645,63.6283,0.99960791691407,15000,5000,20,500
"14",100,500,50,0.4,1,0.41,0.94,30.0127,43.49015,61.0158,1.00052211399407,15000,5000,20,500
"15",100,500,50,0.4,1,0.37,0.93,32.2986,47.8881,69.0005,0.999533963945377,15000,5000,20,500
"16",100,500,50,0.4,1,0.35,0.87,22.6726,32.30145,45.9348,1.00065561583375,15000,5000,20,500
"17",100,500,50,0.4,1,0.35,0.86,36.1232,55.19365,81.1767,0.999729014332369,15000,5000,20,500
"18",100,500,50,0.4,1,0.4,0.91,43.7041,62.3197,90.0275,1.00060053918835,15000,5000,20,500
"19",100,500,50,0.4,1,0.37,0.9,39.6509,56.24385,84.9221,1.00318686328997,15000,5000,20,500
"20",100,500,50,0.4,1,0.37,0.93,29.4896,42.8277,61.579,1.00654978902393,15000,5000,20,500
"21",100,500,50,0.4,1,0.36,0.91,29.7611,44.73825,62.8281,0.999436527435087,15000,5000,20,500
"22",100,500,50,0.4,1,0.36,0.9,29.9107,46.63165,65.5152,1.00165055161094,15000,5000,20,500
"23",100,500,50,0.4,1,0.39,0.9,30.9519,44.926,64.0665,1.00231835856933,15000,5000,20,500
"24",100,500,50,0.4,1,0.43,0.93,48.4738,73.21505,103.16,1.00104569863669,15000,5000,20,500
"25",100,500,50,0.4,1,0.39,0.89,31.0603,46.103,65.486,1.00182967282324,15000,5000,20,500
"26",100,500,50,0.4,1,0.35,0.88,29.0959,43.7643,63.8059,1.00047288386617,15000,5000,20,500
"27",100,500,50,0.4,1,0.39,0.91,34.8753,50.80715,73.1526,1.00075707768288,15000,5000,20,500
"28",100,500,50,0.4,1,0.38,0.92,38.0925,55.20695,80.2597,1.0035335270365,15000,5000,20,500
"29",100,500,50,0.4,1,0.39,0.87,31.1731,46.5325,65.2524,1.00073863630137,15000,5000,20,500
"30",100,500,50,0.4,1,0.43,0.9,35.8279,53.42815,73.4047,0.999545077562558,15000,5000,20,500
"31",100,500,50,0.4,1,0.34,0.9,38.766,58.5167,88.0139,0.999495745974893,15000,5000,20,500
"32",100,500,50,0.4,1,0.43,0.92,30.1456,42.1568,58.6278,1.00054224654309,15000,5000,20,500
"33",100,500,50,0.4,1,0.39,0.86,30.4662,45.50305,63.8691,1.00285277294398,15000,5000,20,500
"34",100,500,50,0.4,1,0.49,0.88,36.4329,52.5395,70.8647,1.00032744171122,15000,5000,20,500
"35",100,500,50,0.4,1,0.28,0.87,27.4896,40.196,62.6457,1.00053897469976,15000,5000,20,500
"36",100,500,50,0.4,1,0.39,0.9,27.8179,40.94355,57.3582,0.999441414480503,15000,5000,20,500
"37",100,500,50,0.4,1,0.38,0.88,33.0657,51.3096,71.6951,1.00281106810637,15000,5000,20,500
"38",100,500,50,0.4,1,0.35,0.89,29.1146,43.37185,60.7152,1.0021695015108,15000,5000,20,500
"39",100,500,50,0.4,1,0.34,0.92,29.7441,44.79055,64.3311,1.00008166083909,15000,5000,20,500
"40",100,500,50,0.4,1,0.32,0.93,36.8807,55.73285,83.9013,0.999561678251933,15000,5000,20,500
"41",100,500,50,0.4,1,0.31,0.89,39.5727,62.4751,96.2686,1.00015325674956,15000,5000,20,500
"42",100,500,50,0.4,1,0.35,0.94,35.189,55.3351,80.4965,1.00107877421242,15000,5000,20,500
