Replicate,N,LEN,PHI,delta,Pcap,Pstay,delta_lower,delta_med,delta_upper,phi_lower,phi_med,phi_upper,R_hat_delta,R_hat_phi,MCMCiter,Burn_in,N_thin,N_sample,model
1,100,500,0.4,188.4266135,0.3,0.66,131.885,278.0935,472.007,0.362712,0.559715,0.82292,1.025795809,1.030725824,15000,5000,20,500,disp_obs
2,100,500,0.4,234.0526056,0.18,0.55,125.362,476.3225,1110.44,0.212762,0.4786355,0.930696,1.089866576,1.063051364,95000,5000,20,4500,disp_obs
3,100,500,0.4,126.6574691,0.28,0.82,85.1424,202.8055,544.416,0.258239,0.4530165,0.832779,1.077511304,1.087834357,85000,5000,20,4000,disp_obs
4,100,500,0.4,95.86075993,0.33,0.78,54.2624,91.1291,152.268,0.312667,0.4207135,0.555658,1.019134173,1.006371264,15000,5000,20,500,disp_obs
5,100,500,0.4,172.298203,0.25,0.75,161.682,468.92,851.551,0.378553,0.651051,0.997871,1.038840504,1.026732163,45000,5000,20,2000,disp_obs
6,100,500,0.4,266.500515,0.18,0.44,117.911,555.1415,1105.43,0.198558,0.5236605,0.930182,1.065743308,1.044635352,65000,5000,20,3000,disp_obs
7,100,500,0.4,90.08802884,0.39,0.82,58.8147,112.066,228.554,0.36995,0.5077145,0.722685,1.048110307,1.038075844,25000,5000,20,1000,disp_obs
8,100,500,0.4,83.49069785,0.39,0.84,54.8173,92.6647,147.825,0.361532,0.494664,0.638689,1.050423825,1.024611816,25000,5000,20,1000,disp_obs
9,100,500,0.4,38.02627221,0.42,0.93,25.1338,35.66195,48.5216,0.350481,0.4475115,0.546823,1.002087962,1.001165393,15000,5000,20,500,disp_obs
10,100,500,0.4,150.8112516,0.37,0.69,80.9443,161.6745,294.436,0.353874,0.5241915,0.761014,1.078011619,1.066915949,15000,5000,20,500,disp_obs
11,100,500,0.4,212.9996872,0.28,0.66,78.6788,173.1585,423.472,0.259649,0.4291175,0.734076,1.019251163,1.020899567,35000,5000,20,1500,disp_obs
12,100,500,0.4,260.040278,0.28,0.6,90.1484,214.9525,494.188,0.270611,0.459351,0.798041,1.055843143,1.042351684,25000,5000,20,1000,disp_obs
13,100,500,0.4,204.1860099,0.2,0.6,82.9985,240.3375,715.321,0.174021,0.3695405,0.757492,1.021850365,1.029220542,45000,5000,20,2000,disp_obs
14,100,500,0.4,76.62162377,0.34,0.86,58.9154,101.421,164.56,0.30123,0.419475,0.553546,1.023005679,1.00749188,15000,5000,20,500,disp_obs
15,100,500,0.4,160.4910695,0.28,0.67,76.2849,143.1265,306.493,0.261264,0.412764,0.621022,1.006449305,1.00271519,15000,5000,20,500,disp_obs
16,100,500,0.4,18.98691881,0.39,0.98,11.2754,15.8407,21.9374,0.303493,0.4006775,0.498722,1.000583836,1.000442699,15000,5000,20,500,disp_obs
17,100,500,0.4,64.69588687,0.3,0.84,37.6244,61.97325,93.3779,0.253732,0.3541485,0.467554,1.010545659,0.999797202,15000,5000,20,500,disp_obs
18,100,500,0.4,268.8050127,0.2,0.5,64.647,181.372,567.886,0.156798,0.318983,0.650532,1.030472807,1.054889372,35000,5000,20,1500,disp_obs
19,100,500,0.4,252.1956289,0.31,0.64,169.798,348.418,606.909,0.396813,0.6468215,0.952689,1.054475521,1.027421677,15000,5000,20,500,disp_obs
20,100,500,0.4,242.9473159,0.21,0.55,59.9675,149.7205,449.981,0.154856,0.306048,0.573878,1.05134669,1.096045117,65000,5000,20,3000,disp_obs
21,100,500,0.4,183.9473983,0.22,0.59,87.977,263.3485,717.774,0.200467,0.411417,0.833039,1.080975358,1.085446039,55000,5000,20,2500,disp_obs
22,100,500,0.4,276.7172247,0.23,0.48,122.958,388.0715,794.838,0.253162,0.527493,0.866524,1.094539475,1.06554888,15000,5000,20,500,disp_obs
23,100,500,0.4,86.87923206,0.37,0.85,76.8564,126.573,219.817,0.357698,0.5038185,0.675621,1.045491044,1.032782763,15000,5000,20,500,disp_obs
24,100,500,0.4,19.02611225,0.39,0.98,16.8364,23.232,31.39,0.312099,0.406785,0.509059,1.001576189,1.000958191,15000,5000,20,500,disp_obs
25,100,500,0.4,210.2794913,0.22,0.63,38.9381,74.12495,137.119,0.165755,0.2573055,0.36645,1.008819308,1.00047068,15000,5000,20,500,disp_obs
