"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,0.4,188.42661351664,0.3,0.66,131.885,278.0935,472.007,0.362712,0.559715,0.82292,1.0257958094323,1.0307258239492,15000,5000,20,500
"2",100,500,0.4,234.052605633624,0.18,0.55,125.362,476.3225,1110.44,0.212762,0.4786355,0.930696,1.08986657592322,1.06305136449694,95000,5000,20,4500
"3",100,500,0.4,126.657469144557,0.28,0.82,85.1424,202.8055,544.416,0.258239,0.4530165,0.832779,1.07751130352602,1.08783435713434,85000,5000,20,4000
"4",100,500,0.4,95.8607599302195,0.33,0.78,54.2624,91.1291,152.268,0.312667,0.4207135,0.555658,1.019134173099,1.00637126428274,15000,5000,20,500
"5",100,500,0.4,172.298203029204,0.25,0.75,161.682,468.92,851.551,0.378553,0.651051,0.997871,1.03884050427553,1.02673216271544,45000,5000,20,2000
"6",100,500,0.4,266.500515039079,0.18,0.44,117.911,555.1415,1105.43,0.198558,0.5236605,0.930182,1.06574330801158,1.04463535215566,65000,5000,20,3000
"7",100,500,0.4,90.0880288425833,0.39,0.82,58.8147,112.066,228.554,0.36995,0.5077145,0.722685,1.04811030665421,1.03807584412757,25000,5000,20,1000
"8",100,500,0.4,83.4906978462823,0.39,0.84,54.8173,92.6647,147.825,0.361532,0.494664,0.638689,1.05042382457422,1.02461181618136,25000,5000,20,1000
"9",100,500,0.4,38.0262722051702,0.42,0.93,25.1338,35.66195,48.5216,0.350481,0.4475115,0.546823,1.00208796240549,1.00116539331102,15000,5000,20,500
"10",100,500,0.4,150.811251588166,0.37,0.69,80.9443,161.6745,294.436,0.353874,0.5241915,0.761014,1.07801161885426,1.06691594912196,15000,5000,20,500
"11",100,500,0.4,212.999687162228,0.28,0.66,78.6788,173.1585,423.472,0.259649,0.4291175,0.734076,1.01925116304001,1.02089956735433,35000,5000,20,1500
"12",100,500,0.4,260.040278045926,0.28,0.6,90.1484,214.9525,494.188,0.270611,0.459351,0.798041,1.0558431432762,1.04235168395652,25000,5000,20,1000
"13",100,500,0.4,204.186009934638,0.2,0.6,82.9985,240.3375,715.321,0.174021,0.3695405,0.757492,1.02185036453418,1.02922054249774,45000,5000,20,2000
"14",100,500,0.4,76.6216237749904,0.34,0.86,58.9154,101.421,164.56,0.30123,0.419475,0.553546,1.02300567856192,1.00749187953547,15000,5000,20,500
"15",100,500,0.4,160.491069532,0.28,0.67,76.2849,143.1265,306.493,0.261264,0.412764,0.621022,1.00644930500992,1.00271518973323,15000,5000,20,500
"16",100,500,0.4,18.9869188074954,0.39,0.98,11.2754,15.8407,21.9374,0.303493,0.4006775,0.498722,1.00058383574368,1.00044269856714,15000,5000,20,500
"17",100,500,0.4,64.6958868694492,0.3,0.84,37.6244,61.97325,93.3779,0.253732,0.3541485,0.467554,1.01054565859528,0.999797201970476,15000,5000,20,500
"18",100,500,0.4,268.8050126913,0.2,0.5,64.647,181.372,567.886,0.156798,0.318983,0.650532,1.03047280734647,1.05488937205021,35000,5000,20,1500
"19",100,500,0.4,252.195628916379,0.31,0.64,169.798,348.418,606.909,0.396813,0.6468215,0.952689,1.05447552116378,1.02742167732376,15000,5000,20,500
"20",100,500,0.4,242.94731589267,0.21,0.55,59.9675,149.7205,449.981,0.154856,0.306048,0.573878,1.05134668977292,1.09604511705504,65000,5000,20,3000
"21",100,500,0.4,183.947398285381,0.22,0.59,87.977,263.3485,717.774,0.200467,0.411417,0.833039,1.08097535811441,1.08544603877512,55000,5000,20,2500
"22",100,500,0.4,276.717224705499,0.23,0.48,122.958,388.0715,794.838,0.253162,0.527493,0.866524,1.09453947545538,1.06554888007128,15000,5000,20,500
"23",100,500,0.4,86.8792320578359,0.37,0.85,76.8564,126.573,219.817,0.357698,0.5038185,0.675621,1.04549104437289,1.032782763062,15000,5000,20,500
"24",100,500,0.4,19.0261122514494,0.39,0.98,16.8364,23.232,31.39,0.312099,0.406785,0.509059,1.00157618891104,1.0009581907633,15000,5000,20,500
"25",100,500,0.4,210.279491296969,0.22,0.63,38.9381,74.12495,137.119,0.165755,0.2573055,0.36645,1.0088193077594,1.00047067955537,15000,5000,20,500
"26",100,500,0.4,38.8419089186937,0.38,0.94,29.6234,44.54845,65.3204,0.307856,0.408812,0.512571,1.0019468696517,1.00276853091679,15000,5000,20,500
"27",100,500,0.4,43.1741594034247,0.41,0.95,20.8957,29.0563,40.0182,0.347086,0.4395925,0.551923,1.00367084373922,1.00062070529187,15000,5000,20,500
"28",100,500,0.4,202.309223609045,0.17,0.59,50.4086,128.6135,388.031,0.11686,0.2366085,0.430438,1.04458221048797,1.0996729748122,195000,5000,20,9500
"29",100,500,0.4,231.131184089463,0.2,0.56,51.5365,102.2795,220.776,0.148822,0.256955,0.384624,1.02312172452372,1.01604144317109,15000,5000,20,500
"30",100,500,0.4,293.201571276877,0.24,0.61,82.2612,212.4655,545.23,0.230183,0.405664,0.744123,1.04847039039887,1.04513063821985,35000,5000,20,1500
"31",100,500,0.4,266.613265804481,0.2,0.51,85.4621,279.311,1005.6,0.189587,0.3865135,0.900995,1.06074142742331,1.04950378141967,25000,5000,20,1000
"32",100,500,0.4,19.2596662556753,0.39,0.97,10.1664,14.8328,20.468,0.311653,0.397246,0.505288,0.999931174903406,1.00069560489628,15000,5000,20,500
"33",100,500,0.4,46.1889706389047,0.44,0.92,25.529,36.3641,49.0053,0.37442,0.4809235,0.58114,1.00075707887798,1.00038341730461,15000,5000,20,500
