"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,0.32,0.93,31.7726,41.27765,52.9858,0.24834,0.352237,0.444747,1.00156838714992,0.999475359563489,15000,5000,20,500
"2",100,500,50,0.4,0.37,0.92,39.2892,51.2153,65.9998,0.3092,0.403711,0.503507,1.00087449921985,0.999350585483549,15000,5000,20,500
"3",100,500,50,0.4,0.35,0.88,45.016,59.17515,77.7145,0.305649,0.402269,0.514679,0.9990335428944,1.00107070569776,15000,5000,20,500
"4",100,500,50,0.4,0.36,0.94,45.3212,58.18605,74.9968,0.290945,0.3926905,0.497518,1.00150584419084,1.00201919346228,15000,5000,20,500
"5",100,500,50,0.4,0.4,0.91,42.4154,54.09185,68.4841,0.344789,0.44372,0.548093,1.00061615692609,1.00135413264258,15000,5000,20,500
"6",100,500,50,0.4,0.35,0.92,47.2308,60.91425,78.6653,0.292354,0.391962,0.497457,1.00081476416092,1.00026539473328,15000,5000,20,500
"7",100,500,50,0.4,0.27,0.92,34.2262,47.3281,63.4466,0.202252,0.297756,0.39234,1.00142464515101,1.00331406316549,15000,5000,20,500
"8",100,500,50,0.4,0.42,0.93,31.1327,40.41205,50.0742,0.342788,0.449236,0.547788,1.00016945364623,1.00186841715857,15000,5000,20,500
"9",100,500,50,0.4,0.34,0.93,33.5294,44.06815,56.4535,0.263106,0.3623405,0.458018,1.00070996753466,1.00013860882061,15000,5000,20,500
"10",100,500,50,0.4,0.39,0.92,34.4104,43.3138,54.4834,0.314181,0.4126775,0.508642,1.00043952560025,1.00201984148058,15000,5000,20,500
"11",100,500,50,0.4,0.32,0.88,36.0797,48.2286,62.2588,0.253046,0.34791,0.443659,1.00099921949985,1.00095510733004,15000,5000,20,500
"12",100,500,50,0.4,0.39,0.93,40.6507,52.52705,67.0035,0.316711,0.425515,0.523754,0.999646716138449,1.00163349439393,15000,5000,20,500
"13",100,500,50,0.4,0.35,0.95,36.9908,49.4648,63.1471,0.286934,0.3805265,0.484151,1.00045593582562,1.00049621987336,15000,5000,20,500
"14",100,500,50,0.4,0.31,0.9,38.904,51.42135,66.9601,0.252114,0.3469005,0.445148,1.0063048422587,1.00131131805568,15000,5000,20,500
"15",100,500,50,0.4,0.31,0.91,39.6075,52.7867,70.5238,0.252544,0.34259,0.441459,0.999190310195508,1.00117205018674,15000,5000,20,500
"16",100,500,50,0.4,0.4,0.92,40.1815,51.1185,65.6976,0.325514,0.4363455,0.531844,1.00134378010524,0.999513653807259,15000,5000,20,500
"17",100,500,50,0.4,0.38,0.92,35.0765,45.43295,57.2189,0.319761,0.420124,0.520314,0.999472224670889,1.00175203312707,15000,5000,20,500
"18",100,500,50,0.4,0.34,0.93,37.8177,49.2201,63.8558,0.279856,0.3730055,0.472018,1.00090713879701,1.0006481328618,15000,5000,20,500
"19",100,500,50,0.4,0.33,0.91,43.5934,57.41595,75.7126,0.25878,0.359951,0.455459,0.999151446211007,1.00061086482682,15000,5000,20,500
"20",100,500,50,0.4,0.37,0.97,36.0567,47.3534,60.0669,0.298803,0.400394,0.501792,0.999970446741284,0.999749601044317,15000,5000,20,500
"21",100,500,50,0.4,0.32,0.92,40.8061,51.71765,68.782,0.262365,0.3568085,0.458582,1.00398566489962,1.00119515098576,15000,5000,20,500
"22",100,500,50,0.4,0.37,0.93,57.402,76.2776,99.5305,0.311711,0.411363,0.509199,1.00040652982982,1.00097864233728,15000,5000,20,500
"23",100,500,50,0.4,0.38,0.92,31.8852,41.7563,52.406,0.302489,0.403458,0.498355,1.00314097443376,1.00321948328707,15000,5000,20,500
"24",100,500,50,0.4,0.32,0.91,37.3036,49.58565,64.5919,0.26478,0.3555965,0.463711,0.999599666844426,1.00028154389492,15000,5000,20,500
"25",100,500,50,0.4,0.49,0.99,42.4496,52.545,64.3315,0.408213,0.504474,0.612934,1.00117878554108,1.00148796698356,15000,5000,20,500
"26",100,500,50,0.4,0.42,0.92,42.602,53.82095,67.5113,0.357627,0.462698,0.55533,1.00072401629403,1.00367782313181,15000,5000,20,500
"27",100,500,50,0.4,0.39,0.92,46.3315,58.76145,75.1663,0.329335,0.4308175,0.534444,1.0013055254087,0.999256303295037,15000,5000,20,500
"28",100,500,50,0.4,0.45,0.9,37.9778,48.6511,60.6836,0.394152,0.4961735,0.600007,1.00031023154339,1.00551226323691,15000,5000,20,500
"29",100,500,50,0.4,0.37,0.92,35.0894,44.7972,56.6347,0.308684,0.39618,0.507822,1.00035040340576,0.999506802273795,15000,5000,20,500
"30",100,500,50,0.4,0.39,0.96,39.6091,51.19555,65.616,0.337484,0.426058,0.527462,1.00057560286403,1.00028548709173,15000,5000,20,500
"31",100,500,50,0.4,0.4,0.93,34.7381,44.5796,56.3461,0.341344,0.435914,0.540948,0.999664217189268,1.00096940316771,15000,5000,20,500
"32",100,500,50,0.4,0.37,0.92,35.4507,44.6693,57.4242,0.302819,0.400705,0.504224,0.999903346318813,1.00246526557258,15000,5000,20,500
"33",100,500,50,0.4,0.36,0.89,41.9563,55.7413,72.6537,0.299097,0.3935825,0.494701,0.999970756580843,1.00653952253042,15000,5000,20,500
"34",100,500,50,0.4,0.43,0.96,39.2263,49.46095,61.6403,0.366345,0.461225,0.561313,0.999836475364386,1.00138515571471,15000,5000,20,500
"35",100,500,50,0.4,0.35,0.92,35.4753,46.3533,59.1543,0.278628,0.372324,0.472108,0.999232462604096,0.999351490558783,15000,5000,20,500
"36",100,500,50,0.4,0.24,0.84,51.1769,73.6301,105.655,0.202183,0.284292,0.388747,1.00092898363948,1.00218277937574,15000,5000,20,500
"37",100,500,50,0.4,0.4,0.9,35.0134,45.3273,56.6945,0.345637,0.4396465,0.541115,1.00260427165813,1.00147293246902,15000,5000,20,500
"38",100,500,50,0.4,0.31,0.87,39.6278,51.53845,68.2297,0.255068,0.344962,0.447579,1.00218186087793,1.00277312028229,15000,5000,20,500
