"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,0.39,0.94,40.9824,64.3746,91.6615,0.348555,0.459256,0.577054,1.01419208860381,1.00070694906842,15000,5000,20,500
"2",100,500,50,0.4,0.38,0.93,30.1878,43.20095,61.8885,0.31886,0.4201075,0.52164,1.00461087963502,1.00378164705387,15000,5000,20,500
"3",100,500,50,0.4,0.38,0.94,35.2564,52.22045,75.9954,0.322296,0.426373,0.543806,1.00256156203994,0.999942039737578,15000,5000,20,500
"4",100,500,50,0.4,0.33,0.96,36.8927,59.44215,87.884,0.259049,0.3755265,0.470421,1.02479326279776,1.00083026882213,15000,5000,20,500
"5",100,500,50,0.4,0.32,0.9,30.0674,44.26735,65.9659,0.262838,0.353097,0.456892,1.00299000840561,1.00468815307062,15000,5000,20,500
"6",100,500,50,0.4,0.31,0.91,29.0756,44.0438,64.9739,0.247123,0.3380315,0.435883,1.00322231017734,1.00034959719504,15000,5000,20,500
"7",100,500,50,0.4,0.28,0.92,33.6369,50.9369,80.0637,0.229802,0.3156695,0.427403,0.99969282033754,1.00084546283537,15000,5000,20,500
"8",100,500,50,0.4,0.25,0.97,25.9785,41.3129,64.302,0.193007,0.2769365,0.37447,1.01062397780454,1.00143810073371,15000,5000,20,500
"9",100,500,50,0.4,0.28,0.89,29.7111,48.34935,75.3795,0.226255,0.317986,0.417001,1.00291779521421,0.999413322168801,15000,5000,20,500
"10",100,500,50,0.4,0.34,0.88,34.0258,55.2926,80.0898,0.288048,0.3885765,0.507397,1.00327761752955,1.00135514253951,15000,5000,20,500
"11",100,500,50,0.4,0.38,0.87,32.8247,48.44935,69.9414,0.333587,0.427676,0.541603,1.00008539333169,1.00168974196437,15000,5000,20,500
"12",100,500,50,0.4,0.28,0.84,35.8994,55.07255,84.9124,0.222739,0.319552,0.416597,1.00510870651852,1.00213979575959,15000,5000,20,500
"13",100,500,50,0.4,0.39,0.9,43.6226,65.84145,95.862,0.353921,0.4546815,0.571091,0.999184738397867,1.00092366583348,15000,5000,20,500
"14",100,500,50,0.4,0.36,0.92,31.2554,45.36,63.3482,0.288601,0.3904165,0.491827,1.01010456166962,1.00157563647005,15000,5000,20,500
"15",100,500,50,0.4,0.3,0.84,53.552,85.9456,134.786,0.263165,0.370301,0.484938,1.0104104831776,1.00220754251749,15000,5000,20,500
"16",100,500,50,0.4,0.39,0.94,30.8365,44.73665,64.7951,0.324073,0.4266345,0.518994,1.00359282057481,1.00224872928308,15000,5000,20,500
"17",100,500,50,0.4,0.37,0.91,35.3484,51.087,71.573,0.310382,0.4222645,0.522341,1.00737450471787,0.99975014864019,15000,5000,20,500
"18",100,500,50,0.4,0.31,0.9,35.8049,57.50465,86.6087,0.261312,0.3552805,0.4656,1.00942792763607,1.00105026202316,15000,5000,20,500
"19",100,500,50,0.4,0.34,0.84,39.1261,58.458,86.7634,0.282584,0.3901695,0.493811,1.006939957675,1.00223060016851,15000,5000,20,500
"20",100,500,50,0.4,0.37,0.85,24.7771,36.5659,50.8503,0.316497,0.4276425,0.541402,1.00198222501856,1.00192742084203,15000,5000,20,500
"21",100,500,50,0.4,0.3,0.87,46.2789,76.63715,129.719,0.258918,0.3696445,0.488465,1.00420532103611,1.0014703329303,15000,5000,20,500
"22",100,500,50,0.4,0.39,0.95,27.5477,39.00865,54.1968,0.322787,0.4124935,0.513427,0.999700946948563,1.00011000556084,15000,5000,20,500
"23",100,500,50,0.4,0.33,0.91,41.3004,63.75865,95.9841,0.279276,0.3878815,0.495384,1.00863115320423,0.999710805632204,15000,5000,20,500
"24",100,500,50,0.4,0.37,0.86,30.664,44.5732,65.2667,0.319996,0.4270695,0.532688,0.999207885908087,0.999154718020109,15000,5000,20,500
"25",100,500,50,0.4,0.34,0.91,35.8395,52.8121,78.8592,0.272364,0.381315,0.484246,1.00062471556316,1.00343227993202,15000,5000,20,500
"26",100,500,50,0.4,0.38,0.9,37.0885,55.68375,79.3985,0.323373,0.424785,0.533426,1.0044102011568,0.999709557733468,15000,5000,20,500
"27",100,500,50,0.4,0.3,0.94,30.866,47.16395,71.414,0.238593,0.3310555,0.435311,1.00426449889666,1.00205640059632,15000,5000,20,500
"28",100,500,50,0.4,0.45,0.89,31.7069,45.1492,61.8428,0.392022,0.493648,0.597153,1.00378943627905,1.00054406906959,15000,5000,20,500
"29",100,500,50,0.4,0.36,0.95,45.7331,69.3779,105.519,0.318037,0.4184255,0.542583,0.999577197205533,1.00083645550163,15000,5000,20,500
"30",100,500,50,0.4,0.42,0.92,42.6401,61.04095,85.5593,0.367488,0.4804695,0.584232,1.00014009411184,1.00058475531063,15000,5000,20,500
"31",100,500,50,0.4,0.47,0.92,28.9766,39.9997,55.1383,0.412602,0.5148025,0.619725,1.00239255919248,1.00359047257328,15000,5000,20,500
"32",100,500,50,0.4,0.36,0.92,28.1081,41.6835,59.5611,0.300244,0.3935325,0.501172,1.00339965213298,0.999912990104711,15000,5000,20,500
"33",100,500,50,0.4,0.36,0.9,49.6206,76.0009,119.355,0.333653,0.4360395,0.569194,1.002548580008,0.99996359945778,15000,5000,20,500
"34",100,500,50,0.4,0.3,0.89,46.8228,74.1682,116.128,0.260205,0.3664295,0.478808,1.00583187243492,1.00050538452438,15000,5000,20,500
"35",100,500,50,0.4,0.41,0.92,23.4164,33.90915,46.7993,0.34112,0.4369915,0.539201,0.999631162377084,1.00023540936154,15000,5000,20,500
"36",100,500,50,0.4,0.44,0.95,33.4429,48.0205,66.0388,0.381853,0.4818275,0.588773,1.00038726415315,1.00113753812226,15000,5000,20,500
"37",100,500,50,0.4,0.41,0.94,31.3538,44.57585,62.7132,0.34658,0.4550945,0.556515,0.999737891422679,1.00097198449984,15000,5000,20,500
"38",100,500,50,0.4,0.37,0.87,41.7215,59.35225,86.0506,0.316098,0.423201,0.530845,1.00158918586051,1.00125738625434,15000,5000,20,500
"39",100,500,50,0.4,0.36,0.9,44.7939,65.14345,96.461,0.302577,0.4149535,0.527029,1.00511275836245,1.00443721637284,15000,5000,20,500
"40",100,500,50,0.4,0.32,0.93,25.356,39.0308,56.6938,0.259049,0.3563475,0.454809,1.00034150717828,1.00136814627197,15000,5000,20,500
"41",100,500,50,0.4,0.37,0.87,33.0762,48.47645,68.9654,0.314167,0.415247,0.514875,1.00023511123854,0.999756748349833,15000,5000,20,500
"42",100,500,50,0.4,0.37,0.92,41.4355,62.7477,91.2185,0.316862,0.4151665,0.526976,1.00149914141287,1.00028661757873,15000,5000,20,500
"43",100,500,50,0.4,0.32,0.9,29.6012,46.84555,67.6136,0.259497,0.3584815,0.45307,1.00079650304913,1.00121871113328,15000,5000,20,500
"44",100,500,50,0.4,0.35,0.92,29.1097,43.9692,64.1634,0.288197,0.381674,0.481677,1.00815681965742,1.00068331949792,15000,5000,20,500
"45",100,500,50,0.4,0.37,0.96,33.8391,49.922,72.1518,0.298258,0.4002025,0.501947,1.01877751512909,1.00033018827135,15000,5000,20,500
"46",100,500,50,0.4,0.34,0.87,31.6026,47.4195,68.6161,0.275192,0.383527,0.482393,1.00275566586516,0.999304847021602,15000,5000,20,500
"47",100,500,50,0.4,0.32,0.91,24.8156,38.1101,55.4313,0.259684,0.3490705,0.446687,1.00077884675889,1.00347756407948,15000,5000,20,500
"48",100,500,50,0.4,0.39,0.88,15.624,21.9427,30.3609,0.309046,0.405661,0.498177,1.00000217181439,0.999396365141573,15000,5000,20,500
"49",100,500,50,0.4,0.35,0.91,37.2866,55.4805,83.7073,0.297831,0.3959495,0.509648,1.00044170491445,1.00095310827558,15000,5000,20,500
"50",100,500,50,0.4,0.44,0.86,35.8549,51.7434,71.706,0.392607,0.491748,0.594532,0.999825381400435,1.00123940668849,15000,5000,20,500
"51",500,500,50,0.4,0.384,0.912,50.3799,60.0207,70.6492,0.387205,0.4381105,0.485452,1.0078233339468,1.00141107654025,15000,5000,20,500
"52",500,500,50,0.4,0.386,0.9,38.2334,45.0857,52.1951,0.380941,0.4286945,0.474316,1.0056352660797,1.00101367290535,15000,5000,20,500
"53",500,500,50,0.4,0.372,0.906,38.8917,45.1057,53.2008,0.365777,0.4091255,0.459612,1.00201577124112,0.99980745453314,15000,5000,20,500
"54",500,500,50,0.4,0.368,0.898,39.9031,46.94775,55.6786,0.357453,0.4048545,0.450866,1.00091822258131,1.00074212327729,15000,5000,20,500
"55",500,500,50,0.4,0.36,0.912,45.7816,54.29335,64.1133,0.353514,0.405651,0.448854,0.999456664305695,1.00157831454555,15000,5000,20,500
"56",500,500,50,0.4,0.39,0.894,40.6247,47.91405,55.9424,0.383811,0.4301365,0.474998,1.00102281363343,1.00058024553313,15000,5000,20,500
"57",500,500,50,0.4,0.378,0.926,43.8163,51.57695,60.4349,0.370687,0.41757,0.460906,1.00101109589858,1.00043260809867,15000,5000,20,500
"58",500,500,50,0.4,0.37,0.894,39.4056,47.4386,55.1107,0.36539,0.412343,0.46215,1.00754347608113,1.00111649358478,15000,5000,20,500
"59",500,500,50,0.4,0.342,0.936,40.0907,47.59795,55.7996,0.327838,0.3722295,0.419665,1.00129763971867,1.00099900955431,15000,5000,20,500
"60",500,500,50,0.4,0.342,0.868,41.3035,48.6184,58.3723,0.339537,0.3831705,0.431884,1.00359014909087,1.00075960168844,15000,5000,20,500
"61",500,500,50,0.4,0.302,0.928,40.7027,48.2538,57.1347,0.293792,0.336339,0.379926,1.006185593644,0.999660010718543,15000,5000,20,500
"62",500,500,50,0.4,0.38,0.892,43.6464,52.13315,60.792,0.377591,0.4229535,0.46971,1.00112405417889,1.00286915863334,15000,5000,20,500
"63",500,500,50,0.4,0.35,0.908,41.9443,49.39105,58.3638,0.344929,0.390021,0.436029,1.00582881168923,1.00190882774896,15000,5000,20,500
"64",500,500,50,0.4,0.34,0.896,44.6564,53.96435,63.0741,0.335369,0.3821935,0.430112,1.0016126421228,1.00026436599106,15000,5000,20,500
"65",500,500,50,0.4,0.368,0.916,42.0829,49.53225,58.4371,0.355235,0.405741,0.452435,1.00240840547267,1.00002448028987,15000,5000,20,500
"66",500,500,50,0.4,0.358,0.904,49.1169,58.53355,70.0083,0.35439,0.406095,0.453946,1.00085996328145,1.00003549212132,15000,5000,20,500
"67",500,500,50,0.4,0.314,0.87,48.6945,58.72725,70.6033,0.309776,0.357126,0.402159,0.999274725688933,1.0023510555391,15000,5000,20,500
"68",500,500,50,0.4,0.332,0.914,47.4835,56.96935,66.9294,0.329552,0.374974,0.423798,1.00076056536528,0.999529718898122,15000,5000,20,500
"69",500,500,50,0.4,0.382,0.892,40.5028,47.0559,55.4252,0.375673,0.42115,0.467096,0.999250053509602,1.001368687438,15000,5000,20,500
"70",500,500,50,0.4,0.358,0.914,49.2989,59.7392,70.1738,0.353621,0.40363,0.449635,1.00187304425143,1.00141459274652,15000,5000,20,500
"71",500,500,50,0.4,0.386,0.89,43.3323,50.7902,60.0021,0.380747,0.425854,0.473732,1.0012302104625,1.00089235134764,15000,5000,20,500
"72",500,500,50,0.4,0.356,0.894,48.0652,57.3865,68.0442,0.356336,0.4065915,0.453238,1.00059973999913,0.99934390625856,15000,5000,20,500
"73",500,500,50,0.4,0.348,0.91,40.0451,47.64155,55.9763,0.341223,0.3872235,0.432871,1.00287364480367,1.0012062982798,15000,5000,20,500
"74",500,500,50,0.4,0.362,0.91,41.1701,48.8538,57.3602,0.358333,0.405066,0.450851,1.00605211450184,1.00173724462075,15000,5000,20,500
"75",500,500,50,0.4,0.356,0.914,39.9399,46.22365,54.7068,0.348687,0.3916215,0.436649,1.00092206501837,1.00118700520081,15000,5000,20,500
"76",500,500,50,0.4,0.384,0.89,43.467,51.4074,59.59,0.384828,0.434527,0.479691,0.999535232274121,1.00126760635426,15000,5000,20,500
"77",500,500,50,0.4,0.39,0.908,45.6757,53.2023,62.581,0.390724,0.434572,0.484605,0.999559750637942,1.00071333166184,15000,5000,20,500
"78",500,500,50,0.4,0.326,0.922,36.0074,43.06525,50.4625,0.317143,0.354981,0.405684,1.00300357802658,1.00022465515302,15000,5000,20,500
"79",500,500,50,0.4,0.316,0.88,42.9838,52.95965,61.912,0.315252,0.359112,0.406208,1.00559853683766,1.002107118542,15000,5000,20,500
"80",500,500,50,0.4,0.366,0.898,38.7086,45.1131,53.2926,0.356226,0.398753,0.444198,1.00101995769134,0.999636666694536,15000,5000,20,500
"81",500,500,50,0.4,0.356,0.914,39.6228,47.0155,55.2555,0.343952,0.392244,0.437579,1.00343673515827,1.00110424917882,15000,5000,20,500
"82",500,500,50,0.4,0.322,0.888,40.8327,48.10335,57.9609,0.31465,0.35951,0.402481,1.00776362790605,1.00033412605292,15000,5000,20,500
"83",500,500,50,0.4,0.378,0.896,47.9893,56.9153,67.0267,0.384301,0.4323815,0.482457,1.00416255927495,1.00077918347546,15000,5000,20,500
"84",500,500,50,0.4,0.376,0.894,43.1193,50.68615,59.5286,0.37838,0.42122,0.470963,1.00285124470499,1.0012598401231,15000,5000,20,500
"85",500,500,50,0.4,0.338,0.912,43.5485,52.47775,61.8449,0.331194,0.375422,0.419086,1.00020591584185,1.00130704671615,15000,5000,20,500
"86",500,500,50,0.4,0.356,0.894,38.2795,45.3542,53.6189,0.351691,0.394875,0.447065,1.00493896074084,0.999302403051972,15000,5000,20,500
"87",500,500,50,0.4,0.38,0.906,43.8546,51.3883,60.6394,0.378887,0.42656,0.473955,1.00117109142139,0.999511921258192,15000,5000,20,500
"88",500,500,50,0.4,0.362,0.904,44.8854,53.23525,62.7721,0.357643,0.4047575,0.451742,1.00419159295134,1.00170972590442,15000,5000,20,500
"89",500,500,50,0.4,0.348,0.884,35.3903,42.95025,50.6863,0.340169,0.384649,0.430151,1.00401398365363,1.00531844914062,15000,5000,20,500
"90",500,500,50,0.4,0.334,0.888,44.6158,53.3034,63.1469,0.331865,0.3740575,0.425705,1.00036263853956,1.00247884908082,15000,5000,20,500
"91",500,500,50,0.4,0.372,0.898,37.5794,44.0055,52.1497,0.360052,0.4065,0.449209,1.00010352619499,1.0003377051118,15000,5000,20,500
"92",500,500,50,0.4,0.396,0.926,45.3102,53.46705,62.4597,0.395708,0.441548,0.490319,1.00010075644974,0.999519791703508,15000,5000,20,500
"93",500,500,50,0.4,0.346,0.882,41.6334,48.4431,57.2461,0.340128,0.3845115,0.432665,1.0014282792438,0.999335417509605,15000,5000,20,500
"94",500,500,50,0.4,0.372,0.902,33.5324,39.789,45.8614,0.359673,0.403991,0.448702,1.00517840646065,1.00046701508118,15000,5000,20,500
"95",500,500,50,0.4,0.344,0.912,42.6405,50.79125,60.4366,0.341716,0.38661,0.431614,1.0003902544311,0.999334483273092,15000,5000,20,500
"96",500,500,50,0.4,0.386,0.914,43.8398,52.1509,60.5049,0.378611,0.426466,0.476229,0.999760724486412,0.999317608024931,15000,5000,20,500
"97",500,500,50,0.4,0.326,0.886,41.3722,48.97565,58.5595,0.319768,0.363846,0.408126,1.00401956468938,0.999514791061734,15000,5000,20,500
"98",500,500,50,0.4,0.384,0.892,42.0946,48.9242,57.0498,0.380169,0.4304695,0.475912,0.999348215707967,0.999813016160814,15000,5000,20,500
"99",500,500,50,0.4,0.378,0.894,42.5124,50.1343,58.591,0.375912,0.422053,0.469984,1.00342941107376,0.999593551982635,15000,5000,20,500
"100",500,500,50,0.4,0.4,0.906,43.279,50.3591,59.4794,0.396091,0.4441535,0.49226,1.00151135545266,1.00129925527346,15000,5000,20,500
"101",1000,500,50,0.4,0.374,0.898,42.7889,47.9694,54.1242,0.380431,0.412563,0.446304,1.00082950773914,1.00018523621762,15000,5000,20,500
"102",1000,500,50,0.4,0.356,0.902,49.6984,55.6589,63.7791,0.363784,0.399848,0.429775,1.00353230052532,1.00090805977329,15000,5000,20,500
"103",1000,500,50,0.4,0.376,0.892,42.8361,48.36805,53.6562,0.389778,0.420197,0.454987,1.00041964022238,1.00141507651878,15000,5000,20,500
"104",1000,500,50,0.4,0.371,0.882,49.6584,55.85995,62.8494,0.387714,0.4210275,0.457761,1.00224961659948,1.00066514721171,15000,5000,20,500
"105",1000,500,50,0.4,0.337,0.9,40.9917,46.42545,51.6337,0.338297,0.369985,0.400217,1.00187891293825,1.00035202810967,15000,5000,20,500
"106",1000,500,50,0.4,0.345,0.896,45.1213,50.48495,56.9368,0.353104,0.384078,0.417916,0.999446127905739,0.999330951036666,15000,5000,20,500
"107",1000,500,50,0.4,0.356,0.902,40.7758,46.08545,52.0345,0.359227,0.3903705,0.422392,1.00016616224421,1.00204940488061,15000,5000,20,500
"108",1000,500,50,0.4,0.388,0.897,46.736,53.3993,59.3799,0.406909,0.440192,0.47395,1.00101740191979,1.00156575832331,15000,5000,20,500
"109",1000,500,50,0.4,0.347,0.918,45.013,50.9179,57.5911,0.352637,0.3860615,0.418642,1.00052278507455,1.00124473028133,15000,5000,20,500
"110",1000,500,50,0.4,0.358,0.909,42.531,47.32725,53.5708,0.362618,0.394487,0.426075,1.00114022885386,0.999657502089794,15000,5000,20,500
"111",1000,500,50,0.4,0.335,0.896,40.0182,45.52485,51.4042,0.338791,0.368002,0.40229,0.999853627129091,0.99917836974791,15000,5000,20,500
"112",1000,500,50,0.4,0.328,0.89,46.5178,52.39875,59.6147,0.336798,0.3699415,0.403693,1.00409975139169,1.00202734424182,15000,5000,20,500
"113",1000,500,50,0.4,0.368,0.907,47.272,52.9468,59.8187,0.377868,0.4100775,0.445312,1.00022880558286,1.00061136905069,15000,5000,20,500
"114",1000,500,50,0.4,0.343,0.886,42.952,48.49155,54.5858,0.349252,0.3825105,0.413126,1.00225088211067,1.0010959373235,15000,5000,20,500
"115",1000,500,50,0.4,0.365,0.884,45.0873,50.94105,57.1397,0.375781,0.406606,0.443976,1.01352884825237,0.999342271735273,15000,5000,20,500
"116",1000,500,50,0.4,0.361,0.911,43.0187,48.4125,53.9835,0.36396,0.397577,0.429557,1.00022406775518,1.00442622626474,15000,5000,20,500
"117",1000,500,50,0.4,0.361,0.901,49.1848,55.07535,62.0377,0.373662,0.40469,0.442472,1.00923990786597,0.999991325468522,15000,5000,20,500
"118",1000,500,50,0.4,0.356,0.887,46.402,51.95085,58.772,0.36265,0.399628,0.430128,1.00372436514134,1.00017356591642,15000,5000,20,500
