"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.37,0.91,30.3397,39.9797,50.7349,0.290906,0.3949845,0.488652,1.00093127159347,0.999989581899348,15000,5000,20,500
"2",100,500,50,0.4,1,0.36,0.95,43.6544,57.58195,74.6019,0.286517,0.3966865,0.487612,1.00028404659752,1.00150706393525,15000,5000,20,500
"3",100,500,50,0.4,1,0.38,0.88,40.7851,51.86295,65.879,0.329567,0.4355395,0.537701,1.00183833023326,1.00160916105912,15000,5000,20,500
"4",100,500,50,0.4,1,0.38,0.93,44.6273,58.01495,74.9143,0.322659,0.4206415,0.524762,0.999880012873589,1.00221528582472,15000,5000,20,500
"5",100,500,50,0.4,1,0.34,0.92,40.9881,54.7273,69.9908,0.277348,0.3690855,0.475958,1.00203526010209,1.00255104124056,15000,5000,20,500
"6",100,500,50,0.4,1,0.4,0.9,37.9168,49.36355,62.2593,0.343895,0.445253,0.547387,1.00220561877645,0.999276329410087,15000,5000,20,500
"7",100,500,50,0.4,1,0.48,0.92,45.8095,57.62585,70.8073,0.424993,0.518141,0.630685,1.00116379443905,1.00042374693219,15000,5000,20,500
"8",100,500,50,0.4,1,0.33,0.9,42.3137,55.19015,72.1382,0.272781,0.365367,0.47043,0.999794453797298,1.00264514635851,15000,5000,20,500
"9",100,500,50,0.4,1,0.38,0.92,35.0385,45.63975,57.9054,0.320962,0.405434,0.520231,1.00034835056357,1.00126633066899,15000,5000,20,500
"10",100,500,50,0.4,1,0.43,0.93,34.6924,43.44135,54.5339,0.371952,0.4641435,0.565045,1.00121003306158,1.0027709896173,15000,5000,20,500
"11",100,500,50,0.4,1,0.29,0.87,39.3661,51.98185,69.4642,0.23702,0.3309875,0.427132,0.999272763193012,0.999683324121088,15000,5000,20,500
"12",100,500,50,0.4,1,0.47,0.95,41.0852,51.41595,64.2449,0.401646,0.5098335,0.61285,1.0021830145867,0.999151871600177,15000,5000,20,500
"13",100,500,50,0.4,1,0.38,0.94,40.115,50.64435,64.9337,0.307071,0.4037915,0.496456,1.00294270345508,0.99920620800837,15000,5000,20,500
"14",100,500,50,0.4,1,0.4,0.96,45.2427,57.6555,73.1554,0.343975,0.4432755,0.550499,1.00293614210946,1.00056737360262,15000,5000,20,500
"15",100,500,50,0.4,1,0.43,0.96,42.6565,53.26845,67.2837,0.340751,0.4543045,0.547274,1.00098892084317,1.00123608050459,15000,5000,20,500
"16",100,500,50,0.4,1,0.35,0.95,35.7229,46.5211,59.0657,0.286892,0.3718065,0.47302,0.999939687604059,1.00033984305508,15000,5000,20,500
"17",100,500,50,0.4,1,0.28,0.9,42.2562,58.865,78.4538,0.217222,0.3136,0.409253,1.00063372984398,1.00057565112436,15000,5000,20,500
