"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.4,0.91,36.9084,53.8709,75.9114,0.336331,0.4456965,0.540468,1.00324537504576,1.0000356762934,15000,5000,20,500
"2",100,500,50,0.4,1,0.46,0.9,35.6094,50.824,69.4766,0.414049,0.5150465,0.628364,1.00233782647043,1.00213085296447,15000,5000,20,500
"3",100,500,50,0.4,1,0.31,0.88,37.8226,61.3747,92.2588,0.262693,0.362837,0.475489,1.00272445579786,1.00081329801953,15000,5000,20,500
"4",100,500,50,0.4,1,0.4,0.94,38.5497,56.06425,81.5894,0.352047,0.455542,0.562057,1.00913371154117,0.999549498432802,15000,5000,20,500
"5",100,500,50,0.4,1,0.42,0.92,43.9505,67.2793,97.0002,0.370056,0.4852335,0.591911,1.0015556394233,1.00558020829792,15000,5000,20,500
"6",100,500,50,0.4,1,0.37,0.85,40.5733,57.01045,82.7561,0.31139,0.420402,0.517489,1.00299591191601,0.999824065055497,15000,5000,20,500
"7",100,500,50,0.4,1,0.35,0.9,28.8592,43.9211,63.6809,0.287614,0.3918565,0.488739,1.015153436806,1.00179232921301,15000,5000,20,500
"8",100,500,50,0.4,1,0.36,0.84,28.6814,43.02045,61.5009,0.301651,0.4069755,0.506523,1.00015461994724,1.00166926389232,15000,5000,20,500
"9",100,500,50,0.4,1,0.35,0.88,39.4686,58.96585,84.7181,0.293212,0.3948475,0.49787,1.00316686062015,1.00102276461323,15000,5000,20,500
"10",100,500,50,0.4,1,0.25,0.95,30.3125,53.40705,88.5574,0.191949,0.2822235,0.38301,1.01707611887894,1.00365581391983,15000,5000,20,500
"11",100,500,50,0.4,1,0.37,0.86,38.9057,56.40475,84.794,0.31766,0.4201935,0.527711,1.00208347904352,1.00438873092206,15000,5000,20,500
"12",100,500,50,0.4,1,0.39,0.91,37.1078,53.62265,76.4324,0.333946,0.4440595,0.541751,1.00902131951581,1.00041607355016,15000,5000,20,500
