"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,0.4,93.9019239111803,0.32,0.79,52.4736,73.1634,101.787,1.0004947502065,15000,5000,20,500
"2",100,500,0.4,150.433518614154,0.36,0.72,69.034,98.29815,134.759,1.00127158629142,15000,5000,20,500
"3",100,500,0.4,234.428814593703,0.23,0.57,73.0348,112.6965,162.956,0.999301223443164,15000,5000,20,500
"4",100,500,0.4,232.923611777369,0.26,0.53,100.423,151.337,218.142,0.999733358531655,15000,5000,20,500
"5",100,500,0.4,46.8675500806421,0.4,0.9,30.9546,43.326,57.0701,0.99949657954078,15000,5000,20,500
"6",100,500,0.4,104.653277664911,0.27,0.85,63.9878,97.56165,137.117,0.999993593727499,15000,5000,20,500
"7",100,500,0.4,197.825702908449,0.25,0.71,66.7967,106.6705,151.609,0.999927754877582,15000,5000,20,500
"8",100,500,0.4,49.8249156936072,0.35,0.93,28.421,39.2065,53.2109,1.00077722147796,15000,5000,20,500
"9",100,500,0.4,60.767123918049,0.35,0.87,39.314,54.1877,75.7242,1.00133275102819,15000,5000,20,500
"10",100,500,0.4,41.1256763082929,0.32,0.95,24.6698,33.7808,47.8736,1.00184033799464,15000,5000,20,500
"11",100,500,0.4,47.9428673302755,0.4,0.9,30.0781,43.0179,57.6362,0.999905967475649,15000,5000,20,500
"12",100,500,0.4,249.208824601956,0.25,0.56,63.2105,95.08185,140.186,1.00075925951103,15000,5000,20,500
"13",100,500,0.4,99.5139810140245,0.33,0.78,48.3103,68.38415,94.5439,0.999605713384551,15000,5000,20,500
"14",100,500,0.4,283.957210318185,0.24,0.55,55.613,86.3951,124.638,1.00332966126321,15000,5000,20,500
"15",100,500,0.4,128.617472802289,0.2,0.75,52.2171,83.59445,126.431,1.00276236373371,15000,5000,20,500
"16",100,500,0.4,234.725705890451,0.23,0.65,82.7203,123.984,187.107,1.00065514352068,15000,5000,20,500
"17",100,500,0.4,13.7576565169729,0.37,0.97,10.8004,15.24435,20.663,0.999564382694265,15000,5000,20,500
"18",100,500,0.4,279.21557867201,0.22,0.46,74.4152,116.141,170.736,1.00297375942396,15000,5000,20,500
"19",100,500,0.4,107.061410560273,0.32,0.8,51.9344,74.0522,105.802,1.00440141882631,15000,5000,20,500
"20",100,500,0.4,256.38636156451,0.17,0.56,98.7829,166.3565,253.46,1.00114264050139,15000,5000,20,500
"21",100,500,0.4,56.7259052000009,0.46,0.93,40.7383,54.07985,70.3328,1.00056585174649,15000,5000,20,500
"22",100,500,0.4,280.36847087089,0.21,0.54,77.2227,123.6815,186.952,0.999606318005273,15000,5000,20,500
"23",100,500,0.4,60.3314075176604,0.4,0.82,31.0288,42.8912,57.5348,1.00015407185493,15000,5000,20,500
"24",100,500,0.4,232.697180146351,0.22,0.57,90.1595,134.5415,203.742,1.00237518161162,15000,5000,20,500
"25",100,500,0.4,82.0124726626091,0.33,0.86,46.0538,66.38255,90.7061,0.999935650331667,15000,5000,20,500
"26",100,500,0.4,47.2356690932065,0.34,0.91,34.782,49.2825,67.3129,1.00063904854634,15000,5000,20,500
"27",100,500,0.4,169.453056792263,0.3,0.81,68.0974,99.9705,139.634,1.00123108827184,15000,5000,20,500
"28",100,500,0.4,133.578240717761,0.38,0.72,58.3349,81.7311,111.026,1.00099194103435,15000,5000,20,500
"29",100,500,0.4,150.35518378485,0.31,0.74,75.8868,110.7595,154.26,0.999919494744958,15000,5000,20,500
"30",100,500,0.4,165.304991605226,0.24,0.62,57.8898,85.1099,124.944,1.00459229387946,15000,5000,20,500
"31",100,500,0.4,25.285693036858,0.29,0.95,22.9136,33.6604,47.4395,1.00239303160435,15000,5000,20,500
"32",100,500,0.4,40.5302645033225,0.34,0.89,27.1768,37.95095,52.7873,0.999995056573749,15000,5000,20,500
"33",100,500,0.4,52.2199467010796,0.34,0.87,32.2312,48.8688,66.0788,1.00063373859941,15000,5000,20,500
"34",100,500,0.4,45.1509213401005,0.43,0.93,34.2373,47.8567,63.1204,1.00195663034781,15000,5000,20,500
"35",100,500,0.4,17.8198738256469,0.36,0.95,9.70418,13.46355,18.259,1.00288041870118,15000,5000,20,500
"36",100,500,0.4,151.810690485872,0.32,0.72,58.0461,82.4567,114.015,0.999783571246853,15000,5000,20,500
"37",100,500,0.4,178.104804889299,0.25,0.66,99.4089,147.2465,217.686,0.999596802602206,15000,5000,20,500
"38",100,500,0.4,260.049666150007,0.28,0.56,82.3686,121.642,176.825,0.999533571288817,15000,5000,20,500
"39",100,500,0.4,247.509142321069,0.24,0.52,76.0073,121.7075,174.22,1.00122636443557,15000,5000,20,500
"40",100,500,0.4,285.080529921688,0.19,0.49,59.2586,95.43245,149.358,1.00050748747703,15000,5000,20,500
"41",100,500,0.4,99.5665040262975,0.31,0.79,51.6715,75.7194,103.482,1.00032409615863,15000,5000,20,500
"42",100,500,0.4,172.239807387814,0.23,0.68,62.0481,95.12665,138.869,0.999728477199134,15000,5000,20,500
"43",100,500,0.4,95.6418971880339,0.33,0.83,54.1921,77.03195,107.137,1.00121324177586,15000,5000,20,500
"44",100,500,0.4,202.965393678751,0.24,0.65,58.6134,95.4569,137.112,1.00233137717501,15000,5000,20,500
"45",100,500,0.4,276.469464441761,0.2,0.48,53.1666,90.6207,138.369,1.00075751259229,15000,5000,20,500
