"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,0.32,0.91,34.4136,43.2471,56.7569,0.99995358218406,15000,5000,20,500
"2",100,500,50,0.4,0.47,0.94,37.3429,45.6994,55.6851,1.00132997663061,15000,5000,20,500
"3",100,500,50,0.4,0.4,0.93,52.7648,66.88605,82.6614,1.00115535636791,15000,5000,20,500
"4",100,500,50,0.4,0.37,0.89,34.5076,43.8966,55.1828,1.00001707054436,15000,5000,20,500
"5",100,500,50,0.4,0.33,0.94,36.9336,47.18945,60.3373,1.00052236483622,15000,5000,20,500
"6",100,500,50,0.4,0.3,0.92,34.4672,45.36245,57.5902,1.00086138842053,15000,5000,20,500
"7",100,500,50,0.4,0.37,0.88,45.7452,58.98785,73.1463,1.0020323682499,15000,5000,20,500
"8",100,500,50,0.4,0.44,0.9,36.9571,46.3794,57.2623,0.999290668082122,15000,5000,20,500
"9",100,500,50,0.4,0.44,0.97,40.4527,49.66505,61.9079,1.0045027493603,15000,5000,20,500
"10",100,500,50,0.4,0.4,0.91,28.875,36.3165,45.569,1.00028102703966,15000,5000,20,500
"11",100,500,50,0.4,0.31,0.91,31.5176,41.2257,53.1977,1.00390958817463,15000,5000,20,500
"12",100,500,50,0.4,0.41,0.92,36.8007,46.39365,57.6307,0.999590410949173,15000,5000,20,500
"13",100,500,50,0.4,0.36,0.91,43.6316,55.0937,70.2188,1.00192320280174,15000,5000,20,500
"14",100,500,50,0.4,0.41,0.87,29.8985,38.05805,46.8952,0.999926406214479,15000,5000,20,500
"15",100,500,50,0.4,0.44,0.94,42.0191,52.65545,65.278,1.00020551145828,15000,5000,20,500
"16",100,500,50,0.4,0.47,0.94,41.1476,51.1864,62.7063,0.999644524279099,15000,5000,20,500
"17",100,500,50,0.4,0.47,0.99,39.4524,48.6397,59.0786,1.00149751498925,15000,5000,20,500
"18",100,500,50,0.4,0.42,0.93,36.3736,45.94005,56.4185,1.00176936829276,15000,5000,20,500
"19",100,500,50,0.4,0.46,0.9,37.8592,45.58465,56.355,1.00306822126919,15000,5000,20,500
"20",100,500,50,0.4,0.29,0.93,41.9332,55.52225,72.6396,1.00180576140513,15000,5000,20,500
"21",100,500,50,0.4,0.37,0.92,39.7258,50.18655,62.7148,1.00028591604312,15000,5000,20,500
"22",100,500,50,0.4,0.42,0.96,37.4662,47.2619,57.6528,1.00243500896996,15000,5000,20,500
"23",100,500,50,0.4,0.38,0.9,44.6456,56.24395,71.6653,1.00122204612806,15000,5000,20,500
"24",100,500,50,0.4,0.37,0.9,41.818,53.41055,66.3273,0.999126354913736,15000,5000,20,500
