"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,0.23,0.83,31.2552,48.23435,73.581,1.00333179482141,15000,5000,20,500
"2",100,500,50,0.4,0.35,0.89,36.2584,50.63655,69.3402,0.999469339112411,15000,5000,20,500
"3",100,500,50,0.4,0.34,0.92,30.9865,44.3898,60.7197,0.999677323476104,15000,5000,20,500
"4",100,500,50,0.4,0.38,0.92,29.1047,41.19765,56.6771,1.00120039565916,15000,5000,20,500
"5",100,500,50,0.4,0.32,0.9,24.3743,35.7114,48.4262,1.00059140834727,15000,5000,20,500
"6",100,500,50,0.4,0.43,0.92,32.1841,44.1508,59.4952,1.00361731355493,15000,5000,20,500
"7",100,500,50,0.4,0.34,0.91,27.4459,40.3665,54.048,1.00123898479137,15000,5000,20,500
"8",100,500,50,0.4,0.31,0.85,30.1853,44.7645,62.7697,1.00236437202468,15000,5000,20,500
"9",100,500,50,0.4,0.32,0.92,28.9434,42.51135,58.8958,1.00084517991703,15000,5000,20,500
"10",100,500,50,0.4,0.33,0.94,39.3665,56.92375,79.0658,1.00047770885171,15000,5000,20,500
"11",100,500,50,0.4,0.36,0.87,24.9171,36.3432,48.8876,1.00285876925553,15000,5000,20,500
"12",100,500,50,0.4,0.35,0.92,31.7041,45.56165,62.0813,1.00151830086535,15000,5000,20,500
"13",100,500,50,0.4,0.44,0.91,26.7908,37.8151,49.7829,1.00119529762319,15000,5000,20,500
"14",100,500,50,0.4,0.33,0.81,34.7873,50.47845,70.45,0.999272221785973,15000,5000,20,500
"15",100,500,50,0.4,0.37,0.88,29.0095,42.3198,56.308,1.00304306478465,15000,5000,20,500
"16",100,500,50,0.4,0.46,0.91,32.1837,42.9903,57.0025,1.00075665040669,15000,5000,20,500
"17",100,500,50,0.4,0.32,0.92,31.065,44.29275,62.7264,1.00035327017137,15000,5000,20,500
"18",100,500,50,0.4,0.34,0.92,28.9276,42.671,57.4745,1.00212870264889,15000,5000,20,500
"19",100,500,50,0.4,0.36,0.9,29.5814,42.1783,58.4355,1.00055240058481,15000,5000,20,500
"20",100,500,50,0.4,0.32,0.91,20.3983,30.04095,41.7958,1.00087650039977,15000,5000,20,500
"21",100,500,50,0.4,0.33,0.9,31.927,45.9694,63.1612,0.99961416703337,15000,5000,20,500
"22",100,500,50,0.4,0.42,0.91,29.242,40.20045,54.1768,0.999540120883022,15000,5000,20,500
"23",100,500,50,0.4,0.49,0.93,35.0027,45.69905,60.9494,0.999396701649412,15000,5000,20,500
"24",100,500,50,0.4,0.38,0.93,28.611,38.4992,52.9595,1.0041204773854,15000,5000,20,500
"25",100,500,50,0.4,0.43,0.92,32.4994,44.0899,58.9385,1.00005368025155,15000,5000,20,500
"26",100,500,50,0.4,0.38,0.84,31.4826,43.4377,59.5409,1.00027504928801,15000,5000,20,500
"27",100,500,50,0.4,0.34,0.92,27.676,39.58815,55.2397,1.00046461254594,15000,5000,20,500
"28",100,500,50,0.4,0.31,0.9,25.9041,38.3311,54.1869,1.00566423845854,15000,5000,20,500
"29",100,500,50,0.4,0.38,0.88,33.3952,48.33345,64.7402,1.0003211931182,15000,5000,20,500
"30",100,500,50,0.4,0.34,0.91,25.0006,35.23975,48.81,1.00644265863909,15000,5000,20,500
"31",100,500,50,0.4,0.35,0.85,30.688,44.0611,60.7198,1.00153982029351,15000,5000,20,500
"32",100,500,50,0.4,0.39,0.94,26.6967,37.51395,49.9677,1.00354887287437,15000,5000,20,500
"33",100,500,50,0.4,0.4,0.9,35.7348,50.3401,67.1187,1.0012746010996,15000,5000,20,500
"34",100,500,50,0.4,0.41,0.91,34.0991,47.4746,63.1973,1.00052686663278,15000,5000,20,500
"35",100,500,50,0.4,0.37,0.88,27.1594,38.11725,51.9342,1.00540134185824,15000,5000,20,500
"36",100,500,50,0.4,0.26,0.91,33.0499,47.52565,70.3884,1.00336756038267,15000,5000,20,500
"37",100,500,50,0.4,0.36,0.9,42.365,58.66545,81.4417,0.999655607844606,15000,5000,20,500
"38",100,500,50,0.4,0.36,0.92,27.0498,38.68895,52.2646,1.00047910075697,15000,5000,20,500
"39",100,500,50,0.4,0.38,0.93,34.5688,47.0818,64.7848,1.00404190067842,15000,5000,20,500
"40",100,500,50,0.4,0.32,0.89,31.7929,45.09945,61.6587,1.00024680419513,15000,5000,20,500
"41",100,500,50,0.4,0.35,0.9,26.4361,38.66935,51.7707,0.999495665291293,15000,5000,20,500
"42",100,500,50,0.4,0.35,0.9,34.6791,49.53385,67.985,0.999931130727978,15000,5000,20,500
"43",100,500,50,0.4,0.35,0.92,33.0984,45.59225,63.756,1.00001293768219,15000,5000,20,500
"44",100,500,50,0.4,0.32,0.91,28.2692,39.71655,56.0901,0.999608077897766,15000,5000,20,500
"45",100,500,50,0.4,0.35,0.86,43.4785,62.5623,86.2564,1.00003434325014,15000,5000,20,500
"46",100,500,50,0.4,0.42,0.88,33.1642,44.4612,60.7651,1.00350396490809,15000,5000,20,500
"47",100,500,50,0.4,0.36,0.91,31.6264,44.68215,61.1364,0.999503107282323,15000,5000,20,500
"48",100,500,50,0.4,0.37,0.9,25.4886,35.87215,48.5,1.00552431172376,15000,5000,20,500
"49",100,500,50,0.4,0.31,0.92,35.3978,52.1383,72.9431,0.999532212264619,15000,5000,20,500
"50",100,500,50,0.4,0.4,0.86,21.9114,30.4029,41.0012,0.999785130114694,15000,5000,20,500
"51",500,500,50,0.4,0.36,0.904,38.5959,44.19025,51.3083,1.0032516861099,15000,5000,20,500
"52",500,500,50,0.4,0.344,0.888,40.0729,46.04515,53.9135,0.999733207904267,15000,5000,20,500
"53",500,500,50,0.4,0.4,0.912,39.4974,44.5378,51.2216,1.00155091634195,15000,5000,20,500
"54",500,500,50,0.4,0.372,0.88,33.9904,39.5967,45.5809,1.00546329174438,15000,5000,20,500
"55",500,500,50,0.4,0.348,0.902,40.5624,46.473,54.6128,1.00131454603966,15000,5000,20,500
"56",500,500,50,0.4,0.318,0.882,38.8648,45.77895,53.1327,1.00088110946638,15000,5000,20,500
