"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.47,0.96,32.0572,39.9942,49.4628,1.00164198300139,15000,5000,20,500
"2",100,500,50,0.4,1,0.41,0.95,33.3621,42.6763,52.1217,0.999371401927536,15000,5000,20,500
"3",100,500,50,0.4,1,0.52,0.93,39.5898,48.0739,58.5997,0.999252664220948,15000,5000,20,500
"4",100,500,50,0.4,1,0.38,0.92,41.5946,53.7575,67.1526,0.999668513168467,15000,5000,20,500
"5",100,500,50,0.4,1,0.41,0.95,40.0294,49.97385,62.4122,1.00035143599599,15000,5000,20,500
"6",100,500,50,0.4,1,0.42,0.94,31.4111,39.9909,48.9893,1.00142462280115,15000,5000,20,500
"7",100,500,50,0.4,1,0.4,0.86,40.9123,51.0623,64.0154,1.00275497402527,15000,5000,20,500
"8",100,500,50,0.4,1,0.42,0.95,36.146,44.6446,55.4569,1.00280316849036,15000,5000,20,500
"9",100,500,50,0.4,1,0.39,0.84,40.6481,51.43835,64.2522,1.00016607634729,15000,5000,20,500
"10",100,500,50,0.4,1,0.41,0.88,43.1724,55.6025,68.903,0.999506387082894,15000,5000,20,500
"11",100,500,50,0.4,1,0.37,0.87,37.0921,46.8078,59.066,1.00159284313738,15000,5000,20,500
"12",100,500,50,0.4,1,0.39,0.95,34.3245,43.8671,54.4606,1.00037177885484,15000,5000,20,500
"13",100,500,50,0.4,1,0.37,0.93,35.9505,45.3256,58.0158,0.999993588363461,15000,5000,20,500
"14",100,500,50,0.4,1,0.39,0.95,35.9874,46.57265,58.619,1.00262935554498,15000,5000,20,500
"15",100,500,50,0.4,1,0.35,0.91,37.293,48.1185,59.9048,1.00048733049028,15000,5000,20,500
"16",100,500,50,0.4,1,0.37,0.91,42.1665,53.60005,66.8175,0.999508475507686,15000,5000,20,500
"17",100,500,50,0.4,1,0.38,0.94,47.2374,58.8034,74.8023,0.999721198744103,15000,5000,20,500
"18",100,500,50,0.4,1,0.41,0.87,33.9184,42.12235,52.8976,1.00054007200139,15000,5000,20,500
"19",100,500,50,0.4,1,0.44,0.92,47.5548,59.44985,73.1031,0.999162898012963,15000,5000,20,500
"20",100,500,50,0.4,1,0.29,0.88,30.8864,40.0938,52.2616,1.00245806566592,15000,5000,20,500
"21",100,500,50,0.4,1,0.37,0.92,30.037,38.69515,48.4699,1.00032627804417,15000,5000,20,500
"22",100,500,50,0.4,1,0.43,0.88,38.6747,48.78495,59.6646,1.00221781801196,15000,5000,20,500
"23",100,500,50,0.4,1,0.49,0.89,44.6322,55.11915,66.7667,0.999588919442241,15000,5000,20,500
"24",100,500,50,0.4,1,0.34,0.92,28.1609,36.4529,46.6818,1.00018716514903,15000,5000,20,500
"25",100,500,50,0.4,1,0.38,0.94,40.9472,51.53185,64.5113,0.999473360038625,15000,5000,20,500
"26",100,500,50,0.4,1,0.45,0.94,43.769,53.7577,66.3816,0.999619817947094,15000,5000,20,500
"27",100,500,50,0.4,1,0.51,0.94,42.6668,51.9617,63.3396,1.00138128696329,15000,5000,20,500
"28",100,500,50,0.4,1,0.45,0.94,29.6792,37.25575,45.461,0.999665183848497,15000,5000,20,500
"29",100,500,50,0.4,1,0.33,0.92,44.0497,57.2121,71.957,1.00204615981184,15000,5000,20,500
"30",100,500,50,0.4,1,0.34,0.92,40.0962,52.01735,65.8285,1.00231041152648,15000,5000,20,500
"31",100,500,50,0.4,1,0.42,0.92,36.4454,46.03065,56.5298,1.00176939557964,15000,5000,20,500
"32",100,500,50,0.4,1,0.31,0.95,40.1098,52.2926,66.5631,1.00206468990336,15000,5000,20,500
"33",100,500,50,0.4,1,0.41,0.91,41.0835,51.0847,64.6554,0.999809446953333,15000,5000,20,500
"34",100,500,50,0.4,1,0.39,0.89,34.5128,44.1077,54.7593,1.00037178952602,15000,5000,20,500
"35",100,500,50,0.4,1,0.36,0.91,35.261,44.58965,56.4346,1.00138035394327,15000,5000,20,500
"36",100,500,50,0.4,1,0.4,0.95,34.9383,45.0172,55.2887,1.00139295687949,15000,5000,20,500
"37",100,500,50,0.4,1,0.39,0.94,30.0184,38.83515,47.8905,1.00121338348587,15000,5000,20,500
"38",100,500,50,0.4,1,0.43,0.98,36.2053,44.8611,55.5532,0.999892043971095,15000,5000,20,500
"39",100,500,50,0.4,1,0.3,0.92,34.1045,44.47975,57.5015,1.00090618218577,15000,5000,20,500
"40",100,500,50,0.4,1,0.4,0.94,27.8653,35.17735,44.0664,1.00165640276081,15000,5000,20,500
"41",100,500,50,0.4,1,0.38,0.93,39.3425,50.2098,64.0066,1.00017922984993,15000,5000,20,500
"42",100,500,50,0.4,1,0.44,0.95,34.5524,42.9894,52.7632,1.00150282986532,15000,5000,20,500
"43",100,500,50,0.4,1,0.46,0.94,33.8091,41.36765,50.1244,0.999810951600561,15000,5000,20,500
"44",100,500,50,0.4,1,0.47,0.92,38.4727,47.11075,57.6175,1.00246444121124,15000,5000,20,500
"45",100,500,50,0.4,1,0.33,0.97,39.6958,50.52305,64.5404,1.00109168612982,15000,5000,20,500
"46",100,500,50,0.4,1,0.4,0.93,32.4651,40.58035,50.3048,1.00020721979346,15000,5000,20,500
"47",100,500,50,0.4,1,0.36,0.95,43.6688,55.14065,70.2786,1.00192321403933,15000,5000,20,500
"48",100,500,50,0.4,1,0.4,0.97,34.369,42.69845,53.3945,1.00054714051532,15000,5000,20,500
"49",100,500,50,0.4,1,0.35,0.91,37.542,48.49665,59.9674,1.00037615256024,15000,5000,20,500
"50",100,500,50,0.4,1,0.36,0.88,35.6159,45.7586,57.491,1.00127149210408,15000,5000,20,500
"51",500,500,50,0.4,1,0.384,0.908,39.3677,43.2299,48.1729,1.00151800798034,15000,5000,20,500
"52",500,500,50,0.4,1,0.394,0.916,41.6821,45.7031,50.5606,1.00030473440734,15000,5000,20,500
"53",500,500,50,0.4,1,0.366,0.94,39.9633,44.14045,49.3058,1.00114794677729,15000,5000,20,500
"54",500,500,50,0.4,1,0.396,0.936,40.5131,44.4116,49.1343,0.999573020673942,15000,5000,20,500
"55",500,500,50,0.4,1,0.388,0.916,39.6268,43.87435,48.2153,1.00430415435211,15000,5000,20,500
"56",500,500,50,0.4,1,0.398,0.91,43.969,48.44745,53.2883,1.00108666986798,15000,5000,20,500
"57",500,500,50,0.4,1,0.402,0.892,43.008,47.0406,52.596,1.00080614609888,15000,5000,20,500
"58",500,500,50,0.4,1,0.396,0.916,43.8451,48.8026,53.6701,0.99956151754631,15000,5000,20,500
"59",500,500,50,0.4,1,0.39,0.918,45.6384,51.04695,56.0368,0.999355247278028,15000,5000,20,500
"60",500,500,50,0.4,1,0.374,0.894,41.1577,46.0006,50.726,0.999743587458471,15000,5000,20,500
"61",500,500,50,0.4,1,0.388,0.92,42.7142,46.95735,52.3242,1.00372707474021,15000,5000,20,500
"62",500,500,50,0.4,1,0.376,0.936,44.3223,49.3071,54.4665,1.00459273580034,15000,5000,20,500
