"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.36,0.92,26.6905,38.3149,52.8426,1.00483399050288,15000,5000,20,500
"2",100,500,50,0.4,1,0.31,0.88,30.0922,43.39075,60.8571,1.00178207553852,15000,5000,20,500
"3",100,500,50,0.4,1,0.4,0.9,28.9177,41.72325,55.0674,0.999261520491717,15000,5000,20,500
"4",100,500,50,0.4,1,0.38,0.91,35.5286,50.00065,68.2841,1.0031807700218,15000,5000,20,500
"5",100,500,50,0.4,1,0.45,0.92,27.0921,37.3361,49.1137,1.00186693337262,15000,5000,20,500
"6",100,500,50,0.4,1,0.39,0.86,28.7989,40.7535,54.0476,1.00092587348001,15000,5000,20,500
"7",100,500,50,0.4,1,0.44,0.91,34.0976,47.87385,63.8823,1.00002602390682,15000,5000,20,500
"8",100,500,50,0.4,1,0.3,0.88,26.989,41.5561,56.882,1.00266317044978,15000,5000,20,500
"9",100,500,50,0.4,1,0.29,0.83,38.9604,56.9489,81.5101,1.00176880991723,15000,5000,20,500
"10",100,500,50,0.4,1,0.41,0.9,26.7353,37.91335,50.657,0.999294139814145,15000,5000,20,500
"11",100,500,50,0.4,1,0.32,0.86,23.0426,32.4535,45.3118,1.00439131988585,15000,5000,20,500
"12",100,500,50,0.4,1,0.37,0.93,38.1298,55.14265,75.2695,1.00132407831858,15000,5000,20,500
"13",100,500,50,0.4,1,0.37,0.9,28.2156,39.01805,53.6871,1.00337109613162,15000,5000,20,500
"14",100,500,50,0.4,1,0.34,0.9,28.5544,40.5505,55.1505,1.00009747352058,15000,5000,20,500
"15",100,500,50,0.4,1,0.31,0.93,36.8441,55.6697,76.9625,1.00042593277186,15000,5000,20,500
"16",100,500,50,0.4,1,0.43,0.92,31.6792,42.5583,57.7043,1.0009777427779,15000,5000,20,500
"17",100,500,50,0.4,1,0.34,0.92,36.3938,51.08955,70.3908,1.00328864664946,15000,5000,20,500
"18",100,500,50,0.4,1,0.39,0.84,30.2659,42.3156,57.1439,1.00061348950579,15000,5000,20,500
"19",100,500,50,0.4,1,0.36,0.95,31.5066,44.43455,61.1524,1.0057028471553,15000,5000,20,500
"20",100,500,50,0.4,1,0.3,0.91,29.355,43.17015,60.5501,1.00094112063759,15000,5000,20,500
"21",100,500,50,0.4,1,0.33,0.93,28.9433,42.6363,58.6421,1.00040259757297,15000,5000,20,500
"22",100,500,50,0.4,1,0.41,0.88,33.1867,44.80165,61.0178,1.00001225800986,15000,5000,20,500
"23",100,500,50,0.4,1,0.44,0.91,26.7787,37.53725,49.5682,1.00630260667992,15000,5000,20,500
"24",100,500,50,0.4,1,0.25,0.85,31.8193,50.39785,71.8118,0.999775554564198,15000,5000,20,500
"25",100,500,50,0.4,1,0.21,0.87,34.6356,52.72135,82.8785,0.999785608713631,15000,5000,20,500
"26",100,500,50,0.4,1,0.4,0.92,31.9091,42.9787,58.6377,1.00104165328507,15000,5000,20,500
"27",100,500,50,0.4,1,0.39,0.91,28.1281,38.5607,53.0893,1.00027452648858,15000,5000,20,500
"28",100,500,50,0.4,1,0.43,0.93,34.1561,47.4081,63.3001,0.999943911350854,15000,5000,20,500
"29",100,500,50,0.4,1,0.35,0.89,41.3063,58.6037,79.5418,1.00172080534284,15000,5000,20,500
"30",100,500,50,0.4,1,0.33,0.89,31.3301,44.96405,61.6245,0.999355136767235,15000,5000,20,500
"31",100,500,50,0.4,1,0.5,0.94,40.9643,55.8911,73.0506,1.00188755302003,15000,5000,20,500
"32",100,500,50,0.4,1,0.35,0.89,35.5573,49.6806,67.8751,0.999898018472592,15000,5000,20,500
"33",100,500,50,0.4,1,0.36,0.94,28.1931,41.2519,55.6119,1.00132094619584,15000,5000,20,500
"34",100,500,50,0.4,1,0.36,0.92,29.8465,42.7759,57.8437,1.00238748836441,15000,5000,20,500
"35",100,500,50,0.4,1,0.41,0.95,32.108,43.95585,59.8286,1.00119468578039,15000,5000,20,500
"36",100,500,50,0.4,1,0.38,0.93,39.1737,53.45785,73.1865,1.00176690035478,15000,5000,20,500
"37",100,500,50,0.4,1,0.38,0.93,31.2788,44.4489,59.6821,0.999804567287084,15000,5000,20,500
"38",100,500,50,0.4,1,0.38,0.85,34.5639,50.3756,67.4728,1.00067317280214,15000,5000,20,500
"39",100,500,50,0.4,1,0.38,0.91,27.0366,37.97265,51.1388,1.00082242012215,15000,5000,20,500
"40",100,500,50,0.4,1,0.38,0.9,32.9911,46.14615,62.7179,1.00034877287211,15000,5000,20,500
"41",100,500,50,0.4,1,0.3,0.88,31.184,46.02765,63.912,1.00082413274086,15000,5000,20,500
"42",100,500,50,0.4,1,0.47,0.93,34.0386,46.4336,60.6379,1.00184983539542,15000,5000,20,500
"43",100,500,50,0.4,1,0.37,0.88,33.0749,46.2983,62.3225,1.00178287399102,15000,5000,20,500
"44",100,500,50,0.4,1,0.4,0.97,40.5123,58.05905,77.6623,1.00262637306268,15000,5000,20,500
"45",100,500,50,0.4,1,0.43,0.9,25.2826,35.0449,46.393,0.999960414813563,15000,5000,20,500
"46",100,500,50,0.4,1,0.39,0.91,35.7639,50.51645,67.5472,0.999576762649508,15000,5000,20,500
"47",100,500,50,0.4,1,0.36,0.86,24.6957,35.08955,48.4366,1.00079851463043,15000,5000,20,500
"48",100,500,50,0.4,1,0.41,0.92,43.2103,58.7783,79.9492,0.999786169599784,15000,5000,20,500
"49",100,500,50,0.4,1,0.38,0.84,29.4344,42.8551,56.9771,1.00188259507558,15000,5000,20,500
"50",100,500,50,0.4,1,0.33,0.83,33.2262,49.68635,67.628,0.999942766350826,15000,5000,20,500
"51",500,500,50,0.4,1,0.366,0.92,42.9797,49.2988,57.4089,1.00036096062566,15000,5000,20,500
"52",500,500,50,0.4,1,0.392,0.896,38.2265,43.81465,50.1567,1.00135439736356,15000,5000,20,500
"53",500,500,50,0.4,1,0.368,0.906,37.8127,44.1877,49.9389,1.00058471994044,15000,5000,20,500
"54",500,500,50,0.4,1,0.384,0.9,41.7536,47.84225,55.0493,1.00004084842474,15000,5000,20,500
"55",500,500,50,0.4,1,0.358,0.892,39.4672,45.4559,52.783,1.00250349751411,15000,5000,20,500
"56",500,500,50,0.4,1,0.406,0.888,37.9819,43.63725,49.9269,1.0000476000721,15000,5000,20,500
"57",500,500,50,0.4,1,0.384,0.898,38.8278,44.56495,51.3305,1.00037560429312,15000,5000,20,500
"58",500,500,50,0.4,1,0.374,0.902,36.5687,42.24465,48.8156,0.999722716864209,15000,5000,20,500
"59",500,500,50,0.4,1,0.37,0.904,35.339,41.00325,47.0678,1.00276515153986,15000,5000,20,500
"60",500,500,50,0.4,1,0.382,0.92,35.1549,40.83845,46.5591,1.00197707614356,15000,5000,20,500
"61",500,500,50,0.4,1,0.352,0.906,35.4968,41.4666,47.7917,1.00120341034522,15000,5000,20,500
"62",500,500,50,0.4,1,0.378,0.916,39.6465,45.33175,52.6816,0.999873159494877,15000,5000,20,500
"63",500,500,50,0.4,1,0.348,0.896,42.4642,49.7688,57.3032,0.999116412505566,15000,5000,20,500
"64",500,500,50,0.4,1,0.38,0.888,39.7988,45.72715,52.4737,1.00330955720593,15000,5000,20,500
"65",500,500,50,0.4,1,0.378,0.894,39.9074,45.9451,52.748,1.00193328878372,15000,5000,20,500
"66",500,500,50,0.4,1,0.36,0.878,32.8266,38.31785,43.778,1.00087464677446,15000,5000,20,500
"67",500,500,50,0.4,1,0.388,0.916,41.3524,48.00965,54.4431,1.00486564619164,15000,5000,20,500
"68",500,500,50,0.4,1,0.344,0.89,43.4359,50.57685,58.8771,1.00173511445824,15000,5000,20,500
"69",500,500,50,0.4,1,0.366,0.918,37.0246,42.5557,49.2641,1.00010449078208,15000,5000,20,500
"70",500,500,50,0.4,1,0.39,0.906,38.5158,44.59015,50.8745,0.999482922168445,15000,5000,20,500
"71",500,500,50,0.4,1,0.376,0.892,37.868,43.69355,50.1258,1.00215659530775,15000,5000,20,500
"72",500,500,50,0.4,1,0.346,0.878,40.3787,47.0296,54.2523,1.00065612415614,15000,5000,20,500
"73",500,500,50,0.4,1,0.372,0.902,33.2559,38.602,44.5113,1.00035992764862,15000,5000,20,500
"74",500,500,50,0.4,1,0.354,0.902,39.9808,46.5014,53.4756,1.0002600777699,15000,5000,20,500
"75",500,500,50,0.4,1,0.354,0.916,37.9102,43.92265,50.6292,1.00042150329578,15000,5000,20,500
"76",500,500,50,0.4,1,0.388,0.904,39.3344,45.05015,51.8869,1.00354004770454,15000,5000,20,500
"77",500,500,50,0.4,1,0.364,0.884,37.4552,43.33725,49.9366,1.00204696102932,15000,5000,20,500
"78",500,500,50,0.4,1,0.432,0.896,36.9563,41.9311,48.0549,0.999767099413888,15000,5000,20,500
"79",500,500,50,0.4,1,0.388,0.902,38.8248,44.3523,51.1026,1.00120868977603,15000,5000,20,500
"80",500,500,50,0.4,1,0.382,0.878,38.5979,44.38045,51.2024,1.0010965403955,15000,5000,20,500
"81",500,500,50,0.4,1,0.374,0.9,42.4961,48.9961,56.4782,1.00030543446794,15000,5000,20,500
"82",500,500,50,0.4,1,0.38,0.908,40.0911,46.1225,52.7446,1.00215258581704,15000,5000,20,500
"83",500,500,50,0.4,1,0.394,0.89,39.6364,45.3598,51.7991,1.00249594967458,15000,5000,20,500
"84",500,500,50,0.4,1,0.402,0.896,38.4719,44.33965,50.8134,1.00089990202992,15000,5000,20,500
"85",500,500,50,0.4,1,0.378,0.888,35.1582,40.6729,46.7248,0.999518856560393,15000,5000,20,500
"86",500,500,50,0.4,1,0.386,0.888,39.4554,46.29475,53.3379,1.00027394936261,15000,5000,20,500
"87",500,500,50,0.4,1,0.356,0.868,37.6265,43.81945,50.6318,1.00110525058593,15000,5000,20,500
"88",500,500,50,0.4,1,0.372,0.896,32.9207,37.98115,43.7377,1.00028028888003,15000,5000,20,500
"89",500,500,50,0.4,1,0.414,0.92,36.2494,41.72345,47.6219,1.00140437923825,15000,5000,20,500
"90",500,500,50,0.4,1,0.34,0.898,45.7041,53.62885,61.5661,1.00035883315933,15000,5000,20,500
"91",500,500,50,0.4,1,0.378,0.88,39.9999,46.41065,53.2396,1.00542577715832,15000,5000,20,500
"92",500,500,50,0.4,1,0.402,0.914,41.2499,47.54465,54.5504,1.00020820900772,15000,5000,20,500
"93",500,500,50,0.4,1,0.382,0.902,41.4808,48.501,55.4094,1.00043557793315,15000,5000,20,500
"94",500,500,50,0.4,1,0.37,0.904,42.2458,48.68795,56.0219,1.00474045765067,15000,5000,20,500
"95",500,500,50,0.4,1,0.378,0.904,31.5733,36.92605,42.5504,0.999500687191213,15000,5000,20,500
"96",500,500,50,0.4,1,0.386,0.898,38.7683,44.89135,51.1555,1.00079146326127,15000,5000,20,500
"97",500,500,50,0.4,1,0.37,0.894,36.9982,42.95,49.6241,0.999753022799935,15000,5000,20,500
"98",500,500,50,0.4,1,0.336,0.89,43.3856,50.84895,58.6927,1.0011691481151,15000,5000,20,500
"99",500,500,50,0.4,1,0.374,0.908,34.291,39.573,45.2848,1.00032561819645,15000,5000,20,500
"100",500,500,50,0.4,1,0.362,0.892,36.8367,42.4038,49.1681,1.00114495728426,15000,5000,20,500
