"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,0.4,62.1716129174456,0.38,0.89,30.9704,45.961,65.502,1.00051696151411,15000,5000,20,500
"2",100,500,0.4,161.617069849744,0.29,0.67,74.9793,194.4675,843.556,1.0047854997111,15000,5000,20,500
"3",100,500,0.4,123.195296248887,0.27,0.72,69.634,157.973,472.986,1.01576329907643,15000,5000,20,500
"4",100,500,0.4,205.644709293265,0.2,0.62,75.0068,268.8865,4011.79,1.00349786800293,15000,5000,20,500
"5",100,500,0.4,290.614344428759,0.2,0.5,154.615,2515.775,16712.2,0.999883455470297,15000,5000,20,500
"6",100,500,0.4,33.753981415648,0.34,0.96,29.0647,44.06715,62.2656,1.00330885593577,15000,5000,20,500
"7",100,500,0.4,16.6299558058381,0.36,0.96,12.8073,18.05165,25.3943,1.00064336284742,15000,5000,20,500
"8",100,500,0.4,216.217486776877,0.26,0.64,84.1112,249.603,1912.32,1.00419277304931,15000,5000,20,500
"9",100,500,0.4,34.6799508365802,0.41,0.91,18.9157,26.3315,36.1291,0.999109811520266,15000,5000,20,500
"10",100,500,0.4,153.790369594935,0.26,0.65,48.8643,86.48895,150.872,1.00114676897255,15000,5000,20,500
"11",100,500,0.4,237.450358404312,0.16,0.58,89.0496,579.702,12373.9,0.99995087198857,15000,5000,20,500
"12",100,500,0.4,272.796827659477,0.24,0.44,103.453,491.2005,10817.6,1.00004847443597,15000,5000,20,500
"13",100,500,0.4,276.913090981543,0.19,0.45,94.8648,766.6945,14129.7,1.00489434421985,15000,5000,20,500
"14",100,500,0.4,168.317128946073,0.31,0.7,82.7167,197.105,685.094,1.00036466105465,15000,5000,20,500
"15",100,500,0.4,91.2763571506366,0.38,0.75,49.4981,76.7613,116.584,0.999658297453654,15000,5000,20,500
"16",100,500,0.4,135.294180880301,0.32,0.75,75.9462,143.8695,276.887,1.01607102182891,15000,5000,20,500
"17",100,500,0.4,137.485353029333,0.37,0.77,77.9689,167.671,381.045,1.0013786511957,15000,5000,20,500
"18",100,500,0.4,48.648728991393,0.35,0.94,36.4323,52.9895,78.8737,1.00007256289069,15000,5000,20,500
"19",100,500,0.4,197.888169924263,0.23,0.66,120.157,1022.24,14865.7,0.99934880955362,15000,5000,20,500
"20",100,500,0.4,205.620211162604,0.19,0.56,50.4629,144.7995,590.789,1.00000691380438,15000,5000,20,500
"21",100,500,0.4,293.780635059811,0.25,0.63,108.911,1275.575,15664.4,1.00276563737835,15000,5000,20,500
"22",100,500,0.4,98.5209845541976,0.26,0.77,47.0474,80.19425,139.767,1.00054749422692,15000,5000,20,500
"23",100,500,0.4,66.3992340490222,0.34,0.86,55.2652,88.37745,141.892,1.00198162370212,15000,5000,20,500
"24",100,500,0.4,43.0236220592633,0.39,0.85,23.782,34.382,48.5271,1.00347513314722,15000,5000,20,500
"25",100,500,0.4,13.0461638164707,0.45,0.99,8.28802,12.01105,15.6484,1.00430090941182,15000,5000,20,500
