"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,0.41,0.95,38.7245,49.53575,62.4855,0.999814238503803,15000,5000,20,500
"2",100,500,50,0.4,0.42,0.89,41.1274,52.39075,65.5691,1.00128504845241,15000,5000,20,500
"3",100,500,50,0.4,0.4,0.89,38.7104,48.9178,62.309,1.00063439904883,15000,5000,20,500
"4",100,500,50,0.4,0.38,0.93,42.4751,54.5717,68.5359,1.00009046261945,15000,5000,20,500
"5",100,500,50,0.4,0.43,0.9,45.8143,57.21695,72.5606,1.00374085895257,15000,5000,20,500
"6",100,500,50,0.4,0.39,0.94,38.5559,49.2495,61.9876,1.00127163395578,15000,5000,20,500
"7",100,500,50,0.4,0.39,0.94,43.6792,56.67285,72.1013,1.00457584797006,15000,5000,20,500
"8",100,500,50,0.4,0.42,0.94,36.2512,46.0563,58.7935,0.999626714069079,15000,5000,20,500
"9",100,500,50,0.4,0.36,0.92,42.5469,54.931,71.6227,1.00106413772934,15000,5000,20,500
"10",100,500,50,0.4,0.44,0.94,43.4072,54.76795,69.2464,1.00333892953618,15000,5000,20,500
"11",100,500,50,0.4,0.32,0.94,43.1973,56.81565,75.0508,1.00006519069369,15000,5000,20,500
"12",100,500,50,0.4,0.38,0.92,41.0651,53.70795,66.8701,0.999633424920964,15000,5000,20,500
"13",100,500,50,0.4,0.35,0.9,33.0371,44.9916,57.4637,1.00049185401327,15000,5000,20,500
"14",100,500,50,0.4,0.43,0.97,40.9973,50.97805,64.9023,0.999954106611382,15000,5000,20,500
"15",100,500,50,0.4,0.43,0.95,43.4326,55.20805,68.9795,0.999765008202239,15000,5000,20,500
"16",100,500,50,0.4,0.39,0.97,32.6492,41.0367,51.7845,1.00093126754104,15000,5000,20,500
"17",100,500,50,0.4,0.39,0.94,39.8534,52.03455,65.941,1.00304257129276,15000,5000,20,500
"18",100,500,50,0.4,0.41,0.94,39.068,50.9492,64.1511,1.0028032317677,15000,5000,20,500
"19",100,500,50,0.4,0.31,0.89,34.0436,43.8391,57.3956,1.00043330654286,15000,5000,20,500
"20",100,500,50,0.4,0.4,0.94,44.7954,55.65965,70.7906,0.999743941887795,15000,5000,20,500
