"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,0.44,0.92,30.4264,42.1488,58.4574,1.00038026440534,15000,5000,20,500
"2",100,500,50,0.4,0.36,0.9,28.0329,40.7563,58.3964,1.00033742075163,15000,5000,20,500
"3",100,500,50,0.4,0.34,0.89,31.7004,48.25,68.7161,1.00033652610007,15000,5000,20,500
"4",100,500,50,0.4,0.34,0.92,23.4668,34.3471,48.5446,0.999439249506387,15000,5000,20,500
"5",100,500,50,0.4,0.35,0.9,29.0428,42.43905,60.6815,0.999739575652466,15000,5000,20,500
"6",100,500,50,0.4,0.34,0.9,37.4992,56.79525,83.8669,1.00073039181105,15000,5000,20,500
"7",100,500,50,0.4,0.42,0.93,33.5511,49.521,68.529,1.00196670270148,15000,5000,20,500
"8",100,500,50,0.4,0.41,0.88,33.5951,46.9633,67.4782,1.00011045750189,15000,5000,20,500
"9",100,500,50,0.4,0.33,0.87,37.5787,59.19965,86.5951,1.0002352426397,15000,5000,20,500
"10",100,500,50,0.4,0.34,0.89,55.1484,94.01795,153.789,1.0003398386109,15000,5000,20,500
"11",100,500,50,0.4,0.36,0.88,42.6851,65.76055,96.1804,1.00316808949673,15000,5000,20,500
"12",100,500,50,0.4,0.34,0.9,26.847,38.6761,56.6355,1.00093172575976,15000,5000,20,500
"13",100,500,50,0.4,0.45,0.91,33.3241,48.529,66.3216,1.00122266627059,15000,5000,20,500
"14",100,500,50,0.4,0.34,0.88,27.8906,42.4915,60.732,1.0007170195257,15000,5000,20,500
"15",100,500,50,0.4,0.39,0.93,43.6069,66.98795,95.6476,1.00109405120623,15000,5000,20,500
"16",100,500,50,0.4,0.38,0.91,38.0462,55.1309,79.019,0.999751557583997,15000,5000,20,500
"17",100,500,50,0.4,0.36,0.86,36.1829,53.38965,78.4922,1.00048593928262,15000,5000,20,500
"18",100,500,50,0.4,0.33,0.93,43.1403,68.1853,104.221,1.0012770454361,15000,5000,20,500
"19",100,500,50,0.4,0.37,0.88,36.7469,56.1557,80.5167,0.999995878670945,15000,5000,20,500
"20",100,500,50,0.4,0.31,0.91,42.5245,68.50625,103.88,1.00134195040586,15000,5000,20,500
