"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.33,0.85,35.3427,45.73535,59.9569,1.00069667489692,15000,5000,20,500
"2",100,500,50,0.4,1,0.3,0.87,33.0017,42.92455,56.7646,0.999568232789696,15000,5000,20,500
"3",100,500,50,0.4,1,0.31,0.89,45.9371,62.0703,82.808,1.00168059397776,15000,5000,20,500
"4",100,500,50,0.4,1,0.33,0.91,39.4968,51.23025,67.2405,1.00061327904973,15000,5000,20,500
"5",100,500,50,0.4,1,0.31,0.89,41.5529,54.43635,71.6814,1.00141841175537,15000,5000,20,500
"6",100,500,50,0.4,1,0.49,0.92,41.8868,53.10465,64.9526,0.999468526336432,15000,5000,20,500
"7",100,500,50,0.4,1,0.4,0.95,41.1603,52.9943,67.3727,1.000612394225,15000,5000,20,500
"8",100,500,50,0.4,1,0.36,0.89,39.8149,51.27635,66.2066,1.0012628686573,15000,5000,20,500
"9",100,500,50,0.4,1,0.47,0.95,40.3846,49.6207,62.5619,0.999233923608418,15000,5000,20,500
"10",100,500,50,0.4,1,0.38,0.93,38.8071,51.2488,64.3881,1.00190844475711,15000,5000,20,500
"11",100,500,50,0.4,1,0.44,0.95,43.9395,55.68485,69.6567,1.00146309876467,15000,5000,20,500
"12",100,500,50,0.4,1,0.44,0.89,44.0996,55.66985,69.9175,1.00032118991221,15000,5000,20,500
"13",100,500,50,0.4,1,0.35,0.91,47.8906,61.59795,79.7839,0.999651279903349,15000,5000,20,500
"14",100,500,50,0.4,1,0.32,0.92,37.396,49.05855,63.1729,1.00113214308874,15000,5000,20,500
"15",100,500,50,0.4,1,0.33,0.92,36.5956,49.1241,64.063,0.999827084670061,15000,5000,20,500
"16",100,500,50,0.4,1,0.35,0.95,42.3204,56.26965,73.8978,1.00046322435022,15000,5000,20,500
"17",100,500,50,0.4,1,0.38,0.9,33.2513,42.4547,53.8119,0.99970321075273,15000,5000,20,500
"18",100,500,50,0.4,1,0.35,0.9,40.5651,52.52535,67.9309,1.00118007173713,15000,5000,20,500
"19",100,500,50,0.4,1,0.4,0.94,36.2489,45.88065,57.8962,1.00136180206742,15000,5000,20,500
"20",100,500,50,0.4,1,0.39,0.83,43.989,55.15295,71.1521,1.00128835501143,15000,5000,20,500
"21",100,500,50,0.4,1,0.43,0.96,40.0001,50.6994,63.0146,1.00093521598203,15000,5000,20,500
"22",100,500,50,0.4,1,0.31,0.85,36.0328,49.0626,65.7002,1.00209581946313,15000,5000,20,500
"23",100,500,50,0.4,1,0.39,0.91,38.2894,48.90545,63.2184,1.00008301642498,15000,5000,20,500
"24",100,500,50,0.4,1,0.42,0.92,53.3703,66.17675,84.6403,1.00642917867736,15000,5000,20,500
"25",100,500,50,0.4,1,0.36,0.9,35.7307,47.5385,60.7932,1.00373600846751,15000,5000,20,500
"26",100,500,50,0.4,1,0.4,0.94,35.1494,44.2639,56.0941,0.999847564157688,15000,5000,20,500
"27",100,500,50,0.4,1,0.27,0.89,52.2617,73.17155,100.796,1.0016052317461,15000,5000,20,500
"28",100,500,50,0.4,1,0.29,0.94,42.8935,57.2518,77.3001,0.999756156774619,15000,5000,20,500
"29",100,500,50,0.4,1,0.33,0.93,31.1869,40.11355,52.5505,1.00358799215722,15000,5000,20,500
"30",100,500,50,0.4,1,0.44,0.92,31.3709,39.9444,49.5871,1.00049650718927,15000,5000,20,500
"31",100,500,50,0.4,1,0.35,0.94,35.6059,45.38425,58.9666,1.00176618878539,15000,5000,20,500
"32",100,500,50,0.4,1,0.3,0.87,39.9975,53.7328,71.3969,1.00010730270116,15000,5000,20,500
"33",100,500,50,0.4,1,0.49,0.94,37.2124,46.3754,57.7275,1.00014428306949,15000,5000,20,500
"34",100,500,50,0.4,1,0.35,0.91,37.7026,49.24015,63.2805,1.00088196022175,15000,5000,20,500
"35",100,500,50,0.4,1,0.34,0.89,40.3219,51.6684,67.5385,0.999848231580239,15000,5000,20,500
"36",100,500,50,0.4,1,0.32,0.93,43.1084,57.6254,74.7794,1.00016977793469,15000,5000,20,500
"37",100,500,50,0.4,1,0.36,0.93,40.9824,52.04095,68.0416,1.00271436739922,15000,5000,20,500
"38",100,500,50,0.4,1,0.41,0.94,45.5804,57.36685,72.601,1.00273310237761,15000,5000,20,500
"39",100,500,50,0.4,1,0.32,0.9,38.2634,52.08375,66.3313,0.999663606802143,15000,5000,20,500
"40",100,500,50,0.4,1,0.4,0.94,41.5173,53.57905,68.0575,0.999180362412474,15000,5000,20,500
"41",100,500,50,0.4,1,0.31,0.95,39.2589,50.84675,67.0589,1.00018262418603,15000,5000,20,500
"42",100,500,50,0.4,1,0.39,0.92,35.0145,45.4636,58.3398,0.999678206388549,15000,5000,20,500
"43",100,500,50,0.4,1,0.35,0.92,40.3721,51.96615,68.7115,0.999450199812241,15000,5000,20,500
"44",100,500,50,0.4,1,0.33,0.96,43.6883,57.21315,75.1635,1.00232522740674,15000,5000,20,500
"45",100,500,50,0.4,1,0.34,0.88,34.7987,46.01455,58.1398,0.999458819446856,15000,5000,20,500
"46",100,500,50,0.4,1,0.41,0.9,42.4755,53.756,68.7877,1.00286807161945,15000,5000,20,500
"47",100,500,50,0.4,1,0.35,0.93,36.311,46.99925,59.8966,1.00133755179343,15000,5000,20,500
"48",100,500,50,0.4,1,0.43,0.91,39.0774,50.1749,62.105,1.001302896876,15000,5000,20,500
"49",100,500,50,0.4,1,0.43,0.94,41.5713,53.63115,66.365,1.00239131677807,15000,5000,20,500
"50",100,500,50,0.4,1,0.41,0.96,27.8875,34.9679,43.5712,0.999092571753121,15000,5000,20,500
"51",500,500,50,0.4,1,0.372,0.908,40.9523,45.6156,50.3936,1.00420503330384,15000,5000,20,500
"52",500,500,50,0.4,1,0.392,0.928,47.6716,53.33455,59.6687,0.999847542052709,15000,5000,20,500
"53",500,500,50,0.4,1,0.368,0.892,48.435,54.11465,60.7078,0.999461982768545,15000,5000,20,500
"54",500,500,50,0.4,1,0.4,0.936,46.0722,51.41685,56.9409,0.999741990019698,15000,5000,20,500
"55",500,500,50,0.4,1,0.416,0.918,46.7811,51.6387,57.3951,1.00041421506293,15000,5000,20,500
"56",500,500,50,0.4,1,0.352,0.92,43.1303,48.4898,53.928,1.00077112892694,15000,5000,20,500
"57",500,500,50,0.4,1,0.382,0.89,44.4048,49.9927,55.659,1.00158047333867,15000,5000,20,500
"58",500,500,50,0.4,1,0.362,0.93,46.5693,52.7039,58.655,1.00084054209897,15000,5000,20,500
"59",500,500,50,0.4,1,0.38,0.902,45.9297,50.95155,56.9315,1.00016701602448,15000,5000,20,500
"60",500,500,50,0.4,1,0.39,0.932,41.7123,46.64905,51.9917,1.0011432995239,15000,5000,20,500
"61",500,500,50,0.4,1,0.41,0.91,51.2194,56.72785,63.516,1.00023320372191,15000,5000,20,500
"62",500,500,50,0.4,1,0.362,0.928,44.6152,49.6153,55.3492,1.00044269870571,15000,5000,20,500
"63",500,500,50,0.4,1,0.37,0.922,44.2966,49.93635,55.2261,1.00265593816256,15000,5000,20,500
"64",500,500,50,0.4,1,0.396,0.932,44.2413,49.27305,54.5452,1.00383505859369,15000,5000,20,500
"65",500,500,50,0.4,1,0.352,0.928,43.418,49.3612,54.8347,1.00114595912566,15000,5000,20,500
"66",500,500,50,0.4,1,0.394,0.92,48.4767,54.15165,59.9539,1.00134692838498,15000,5000,20,500
"67",500,500,50,0.4,1,0.36,0.93,47.1523,52.5188,59.2199,1.00089208561906,15000,5000,20,500
"68",500,500,50,0.4,1,0.39,0.916,47.7929,52.85705,59.3461,1.00195879030334,15000,5000,20,500
"69",500,500,50,0.4,1,0.408,0.914,45.9063,50.65955,56.1709,1.00060408150792,15000,5000,20,500
"70",500,500,50,0.4,1,0.382,0.928,46.0532,51.0287,57.0652,0.999603061990908,15000,5000,20,500
"71",500,500,50,0.4,1,0.414,0.936,47.6134,52.8944,58.5633,1.00068287854235,15000,5000,20,500
"72",500,500,50,0.4,1,0.346,0.894,45.0518,50.179,56.4296,1.00262193388371,15000,5000,20,500
"73",500,500,50,0.4,1,0.376,0.934,44.1773,49.50105,55.1647,1.00828183240414,15000,5000,20,500
"74",500,500,50,0.4,1,0.382,0.89,42.8449,48.09255,53.2633,1.00031195983896,15000,5000,20,500
"75",500,500,50,0.4,1,0.394,0.912,44.7689,49.8653,55.3898,1.00633376574383,15000,5000,20,500
"76",500,500,50,0.4,1,0.382,0.898,42.5068,47.28635,52.5286,1.00107183808693,15000,5000,20,500
"77",500,500,50,0.4,1,0.422,0.916,49.08,54.3932,60.1511,1.00146271055488,15000,5000,20,500
"78",500,500,50,0.4,1,0.41,0.918,40.219,44.87965,49.6733,1.00133661896055,15000,5000,20,500
"79",500,500,50,0.4,1,0.35,0.936,44.8301,50.25715,56.3471,0.999175798746988,15000,5000,20,500
"80",500,500,50,0.4,1,0.406,0.93,42.1168,46.76365,52.0681,1.0000686821521,15000,5000,20,500
"81",500,500,50,0.4,1,0.418,0.92,45.8057,51.18175,56.5181,0.999651964802872,15000,5000,20,500
"82",500,500,50,0.4,1,0.406,0.936,44.2399,49.032,54.4323,1.0031111965697,15000,5000,20,500
"83",500,500,50,0.4,1,0.354,0.916,45.0025,50.77415,56.4598,1.00066327707916,15000,5000,20,500
"84",500,500,50,0.4,1,0.394,0.918,45.6769,50.90995,56.57,1.00095565387063,15000,5000,20,500
"85",500,500,50,0.4,1,0.366,0.908,45.4385,50.706,56.5933,0.999682938992692,15000,5000,20,500
"86",500,500,50,0.4,1,0.372,0.918,46.8835,52.2731,58.0959,1.00061308911149,15000,5000,20,500
"87",500,500,50,0.4,1,0.378,0.92,40.6496,44.62315,49.9208,0.999782323371643,15000,5000,20,500
"88",500,500,50,0.4,1,0.35,0.9,41.3584,46.14045,51.955,1.00271115119863,15000,5000,20,500
"89",500,500,50,0.4,1,0.412,0.926,43.2584,47.9191,53.0308,1.00300199276681,15000,5000,20,500
"90",500,500,50,0.4,1,0.408,0.94,44.545,49.216,54.4289,1.00002630729999,15000,5000,20,500
"91",500,500,50,0.4,1,0.358,0.92,42.6021,47.2459,52.9725,1.00028972907298,15000,5000,20,500
"92",500,500,50,0.4,1,0.4,0.93,46.4276,51.7697,57.4793,1.00239219821104,15000,5000,20,500
"93",500,500,50,0.4,1,0.382,0.936,44.3482,49.50785,54.9309,0.99973199657069,15000,5000,20,500
"94",500,500,50,0.4,1,0.452,0.956,48.6758,53.58725,59.0569,0.999669000457084,15000,5000,20,500
"95",500,500,50,0.4,1,0.368,0.928,44.8584,50.1716,56.0381,0.999966174904527,15000,5000,20,500
"96",500,500,50,0.4,1,0.382,0.916,44.8136,49.96715,56.2856,1.00195201654087,15000,5000,20,500
"97",500,500,50,0.4,1,0.372,0.924,46.4746,51.94505,58.0693,1.00013334839206,15000,5000,20,500
"98",500,500,50,0.4,1,0.396,0.912,44.4945,49.0132,54.6554,1.00081603711867,15000,5000,20,500
"99",500,500,50,0.4,1,0.346,0.916,46.2874,51.825,58.0714,1.00062899803892,15000,5000,20,500
"100",500,500,50,0.4,1,0.388,0.936,48.4272,53.6076,59.9271,1.00163118405734,15000,5000,20,500
"101",1000,500,50,0.4,1,0.379,0.912,46.7763,50.34935,54.6493,1.00053480762878,15000,5000,20,500
"102",1000,500,50,0.4,1,0.379,0.919,45.8548,49.309,53.51,0.999755640982171,15000,5000,20,500
"103",1000,500,50,0.4,1,0.405,0.928,49.5512,53.4311,57.7811,1.00198738834036,15000,5000,20,500
"104",1000,500,50,0.4,1,0.393,0.924,44.6519,48.62965,52.0506,0.999378776138683,15000,5000,20,500
"105",1000,500,50,0.4,1,0.371,0.916,47.5983,50.94245,55.4176,0.999332703841,15000,5000,20,500
"106",1000,500,50,0.4,1,0.395,0.928,47.6707,51.2831,55.4804,1.00029054860406,15000,5000,20,500
"107",1000,500,50,0.4,1,0.396,0.922,45.5283,49.47055,52.8933,1.00080205440714,15000,5000,20,500
"108",1000,500,50,0.4,1,0.365,0.931,43.3969,47.04675,51.0004,1.00017541240086,15000,5000,20,500
"109",1000,500,50,0.4,1,0.36,0.926,47.0685,50.60075,54.7887,0.999913336215679,15000,5000,20,500
"110",1000,500,50,0.4,1,0.37,0.925,42.7482,46.67775,50.2337,0.999927863119872,15000,5000,20,500
"111",1000,500,50,0.4,1,0.381,0.93,45.4269,49.19165,52.7454,1.00676994658585,15000,5000,20,500
"112",1000,500,50,0.4,1,0.371,0.921,44.8464,48.25575,52.0141,1.00015679183581,15000,5000,20,500
"113",1000,500,50,0.4,1,0.373,0.902,44.9704,48.5551,52.3313,1.00285092740572,15000,5000,20,500
"114",1000,500,50,0.4,1,0.376,0.922,45.3163,49.0343,52.7008,1.00012678168743,15000,5000,20,500
"115",1000,500,50,0.4,1,0.382,0.917,48.2468,52.273,56.2282,1.00106486105289,15000,5000,20,500
"116",1000,500,50,0.4,1,0.376,0.924,44.6214,48.07545,51.8934,1.00281771433509,15000,5000,20,500
"117",1000,500,50,0.4,1,0.364,0.915,51.0904,55.2174,59.5749,0.999322424543807,15000,5000,20,500
"118",1000,500,50,0.4,1,0.382,0.907,48.2056,52.1176,55.9665,0.999357327551759,15000,5000,20,500
"119",1000,500,50,0.4,1,0.382,0.907,49.5333,53.2957,57.568,0.999941875083919,15000,5000,20,500
"120",1000,500,50,0.4,1,0.377,0.902,48.6362,52.5948,56.6755,0.999357524388149,15000,5000,20,500
"121",1000,500,50,0.4,1,0.36,0.911,45.9643,49.67445,53.7082,0.99970883826231,15000,5000,20,500
"122",1000,500,50,0.4,1,0.371,0.914,44.7094,48.25935,51.9703,1.00161478862999,15000,5000,20,500
"123",1000,500,50,0.4,1,0.41,0.914,49.5086,53.4324,57.4335,1.00335899791891,15000,5000,20,500
"124",1000,500,50,0.4,1,0.378,0.915,44.7756,48.26115,52.3033,1.0000129166406,15000,5000,20,500
"125",1000,500,50,0.4,1,0.417,0.906,49.2941,52.48265,57.1317,0.999959356890406,15000,5000,20,500
"126",1000,500,50,0.4,1,0.368,0.913,48.4447,52.48305,56.9003,0.99943890581829,15000,5000,20,500
