"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"1",100,500,50,0.4,1,0.38,0.86,40.1876,62.5092,90.4837,1.00111887682834,15000,5000,20,500
"2",100,500,50,0.4,1,0.4,0.87,46.6879,66.87755,101.123,1.00392081314732,15000,5000,20,500
"3",100,500,50,0.4,1,0.37,0.88,28.9555,41.887,59.8054,1.00032726811243,15000,5000,20,500
"4",100,500,50,0.4,1,0.38,0.9,45.2171,74.7808,111.848,1.00115414077698,15000,5000,20,500
"5",100,500,50,0.4,1,0.31,0.88,40.9964,62.8494,97.375,1.00504134675386,15000,5000,20,500
"6",100,500,50,0.4,1,0.45,0.94,33.6136,46.42275,63.7591,1.00120814248549,15000,5000,20,500
"7",100,500,50,0.4,1,0.35,0.91,30.1891,44.97885,64.518,0.999861987291729,15000,5000,20,500
"8",100,500,50,0.4,1,0.35,0.92,41.688,61.2723,91.664,1.00365155638742,15000,5000,20,500
"9",100,500,50,0.4,1,0.41,0.92,41.5171,61.70055,87.8683,1.00053477218074,15000,5000,20,500
"10",100,500,50,0.4,1,0.34,0.94,44.2223,68.75585,102.904,0.999473190611846,15000,5000,20,500
"11",100,500,50,0.4,1,0.42,0.92,33.3071,46.98225,65.0923,1.00130425480287,15000,5000,20,500
"12",100,500,50,0.4,1,0.39,0.91,44.1057,67.18735,96.8875,1.00121650653669,15000,5000,20,500
"13",100,500,50,0.4,1,0.42,0.91,33.4386,47.8002,66.9288,1.005063573243,15000,5000,20,500
"14",100,500,50,0.4,1,0.44,0.92,37.2126,54.3762,74.6475,1.00021809523935,15000,5000,20,500
"15",100,500,50,0.4,1,0.45,0.88,44.4467,63.5719,87.7038,1.00386501243999,15000,5000,20,500
"16",100,500,50,0.4,1,0.37,0.95,37.4395,55.04345,79.721,1.00160619727768,15000,5000,20,500
"17",100,500,50,0.4,1,0.34,0.94,31.0221,46.9339,67.6338,0.99947057239015,15000,5000,20,500
"18",100,500,50,0.4,1,0.37,0.9,32.6134,50.3064,71.911,0.999598266236679,15000,5000,20,500
"19",100,500,50,0.4,1,0.37,0.94,35.1264,51.89345,76.5541,1.00043015025978,15000,5000,20,500
"20",100,500,50,0.4,1,0.39,0.92,39.025,57.5222,82.1652,1.00194595499559,15000,5000,20,500
"21",100,500,50,0.4,1,0.33,0.92,37.5308,60.56195,90.6698,1.00130383490259,15000,5000,20,500
"22",100,500,50,0.4,1,0.39,0.9,33.2673,48.9942,69.2581,1.0019076385907,15000,5000,20,500
